#Xing*2025 /1570(750) похожих слов-A2/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова почти похожи, интернац, сленг, новояз - можно запомнить по микро ФА)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abnormal [Эб'нормэл][Эб'но:мэл]|аномальный,ненормальный|аб=не % / abnormal эбнормэл / (аб=не) *неНОРМАЛьный *аномальный|
slot [слат][слот]|слот,разъём,паз,гнездо|слот / slot слот / *разъём *паз *гнездо и СЛОТ в компе|
 slot-machine [слотмэ'ши:н]|игровой-автомат||
slow-down [слоу-даун][слэудаун]|замедлять,замедлиться|медлено-вниз / slow-down слоудаун / *замедляется = медленный + вниз|
 slowdown [слоу,даун][слэудаун]|замедлять,замедление,спад||
smart [смарт][сма:т]|умный,хитрый|смартфон / СМАРТфон - *умный *хитрый телефон (smart смарт, смаат быстрый нарядный горе несчастье боль) / smart смаРт / СМАРТфон *умный *хитрый телефон / *быстро СМАТывать удочки и делать ноги|
smash [смЭш]|разгромить,громить,разбивать|группа смэш громила / группа СМЭШ имела *огромный-успех и *громила и *разбивала всё вокруг (smash смэш) / smash смэш смаш / группа СМЭШ имела *огромный-успех, *громила и *разбивала всё вокруг / после *разгрома возле бородино СМЕШались люди кони / *грохот *гибель *разрушение *уничтожение *катастрофа *сталкиваться *разбить *сокрушить *уничтожить|
 smashed [смЭшт]|разбитый,пьяный-в-стельку(разг.)|и смешной|
snowball [сноу,бол][снэубо:л]|снежок|снег+шар|
society [сэ'саиэти]|общество|социалка / society сэсайэти социети / *общество это СОЦИум социальный|
 societal [сэ'саиитэл][сэ'саиэтл]|общественный||
sock [сак][сок]|носок|+но % / sock сок соцк / (добавили но) *ноСОК (socks сокс носки)|
 sox [сакс]|носки||
socket [сакэт][сокит]|разъем,розетка|сокет / socket сокит соцкет / *разъем *розетка и СОКЕТ для процессора (комп)|
software [софт,Вер][софтВеэ]|программное-обеспечение,программое-обеспечение|софт с вирусами / software софтвеР софтваре / СОФТ с ВИРусами это *программное-обеспечение|
solar [соулэр][сэулэ]|солнечный|солярий / solar соулэр солар / *солнечный свет в СОЛЯРии для загара|
sovereign [саврэн][соврин]|суверен,суверенный|%|
 sovereignty [саврэнти][соврэнти]|суверенитет||
speak-out [спик-аут][спи:каут]|высказываться,высказать|говорить+вне спикер|
speak-up [спик-эп][спи:кАп]|высказывайся,говорить-громче|вверх спикер / speak-up спикэп / *говорил-громче СПИКер вверх|
special [спешэл]|особенный,специальный|%|
 especially [э'спешэли][э'спешли][ис'пешэли]|особенно|especially эспешэли еспециалли / *особенно важный Этот СПЕЦИАЛИст|
specificity [спесэ'фисэти][спесэ'фисити]|специфика|%|
 specific [спэ'сифик][спи'сифик]|специфический,конкретный|specific списифик специфик / *конкретный и СПЕЦИФИЧный|
 specify [спесэ,фаи][спесифаи]|указать,установить,уточнить|спецификацию / specify спесифай специфай / *указать *установить *уточнить в СПЕЦИФИкации на изделие|
 specimen [спесэмэн][спесимин]|образец,экземпляр||
spectacle [спектэкэл][спектэкл]|зрелище|спектакль / spectacle спектэкэл спектакле / *зрелище смотрел в *очках на *СПЕКТАКЛЕ (spectator спектеитэр зритель наблюдатель свидетель спектра)|
 spectacles [спектэкэлз][спектэклс]|очки,очки(UK)||
 spectacular [спек'тЭкьэлэр][спек'тЭкьюлэ]|зрелищный,эффектный||
 spectator [спектеитэр][спек'теитэ]|зритель,наблюдатель|спектакля / spectacle спектэкэл спектакле / *зрелище смотрел в *очках на *СПЕКТАКЛЕ (spectator спектеитэр зритель наблюдатель свидетель спектра)|
speculation [спекьэ'леишэн][спекью'леишэн]|догадка,спекуляция|%|
 speculate [спекьэ,леит][спекьюлеит]|спекулировать,предполагать,строить-догадки|speculate спекьюлейт спекулате / СПЕКУЛЯнт *предполагал и *строил-догадки как продать дороже чем купил|
 speculative [спекьэлэтив][спекьюлэтив]|спекулятивный,умозрительный||
spice [спаис]|пряность,специя|% / СПАИС герл - перчинки - *острые девочки (spice спайс специя пряность привкус примесь) / spice спайс спице / *СПЕЦИя *пряность *привкус *острота (spicy спаиси острый)(спейс-космос)|
 spicy [спаиси]|пряный,острый|спайс гёл / spice спайс спице / *СПЕЦИя *пряность *привкус *острота (spicy спаиси острый)(спейс-космос)|
spin [спин]|вращаться,крутить|спининг / СПИНоза *крутил занозу чтобы вытащить из спины (spin спин) / spin спин / СПИНер *крутим, нервишки успокаиваем / СПИНинг *кручу рыбу хочу|
spine [спаин]|позвоночник|спина / spine спайн спине / *позвоночник в СПИНЕ|
 spineless [спаинлэс][спаинлис]|бесхребетный,бесхарактерный||
 spinal [спаинэл][спаинл]|спинной,позвоночный||
spirit [спирэт][спирит]|дух|спиритический сеанс / spirit спирит / СПИРИТический сеанс с *духами|
 spiritual [спири,чуэл][спиритьюэл]|духовный||
spoil [спо:ил]|портиться,портить|спойлер / СПОЙЛЕР *портит просмотр кино (spoil споил *добыча *прибыль *выгода *вредит) / spoil споил / *портит СПОЙЛер просмотр фильма и уже неинтересно|
square [скВер][скВеэ]|квадрат,квадратный / 2,площадь|сквер / scare скер скаре / СКАРЕй беги от *испуга *паники (scurry скари стремительное-движение) / в квадратном(square скВер) СКвЕРе *испугался квадратных людей квадроберов со свиным рылом / СКАРёжился от *испуга и забился в угол (скар-шрам от *испуга) / square скВеэр скуаре / *СКВЕР *площадь *квартал *квадрат *прямоугольник|
 squared [скВерд][скВеэд]|в-квадрате||
stabilise [стеибилаиз]|стабилизировать|%|
 stable [стеибэл][стеибл]|стабильный,устойчивый|стабильный / stable стейбэл стабле / СТАБИЛьный и *стойкий *устойчивый *крепкий *прочный *неизменный / *конюх *конюшня *хлев|
 unstable [эн'стеибэл][Ан'стеибл]|нестабильный,неустойчивый||
 stability [стэ'билити]|стабильность,устойчивость||
 instability [инстэ'билити]|нестабильность,неустойчивость||
stamp [стЭмп]|печать,марка,штамп|с=ш % / stamp стэмп стамп / (замена с-ш) ШТАМП на *марку - погашено ШТЕМПелем|
staple [стеипэл][стеипл]|штапель,скоба,скрепка|степлер / staple стейпэл стапле / *скоба и *скрепка в СТЕПЛЕре|
start-up [старт-эп][ста:тАп]|запускать,основать,установить|стартап|
state [стеит]|государство / 2,заявить,отметить / 3,состояние|с=ш штат / state стейт стате / (замена с-ш) *ШТАТ почти как *государство *страна / *СосТОяниЕ *утверждать (statement стеитмэнт заявление утверждение)|
 statesman [стеитсмэн]|государственный-деятель||
 statement [стеитмэнт]|заявление|state стейт стате / (замена с-ш) *ШТАТ почти как *государство *страна / *СосТОяниЕ *утверждать (statement стеитмэнт заявление утверждение)|
stay [стеи]|оставаться,оставаться / 2,остановиться-пожить|постояльцы / stay стей стаи / *оСТАться *оСТАновиться *пожить *пребывание / поСТОЯльцы на *поСТОЙ|
 stay-up [стеи-эп][стеиАп]|не-ложиться-спать,не-ложиться||
stealth [стелС]|скрытность,хитрость|стелс самолет / stealth стелС стеалТХ / самолет СТЕЛС *скрытный / *хитрость (steal - стащил)|
 steal [сти:л]|воровать,красть|(stole, stolen) / стащил / steal стил стеал / *СТащИЛ *СТырИЛ *стальной(steel-стил) наСТИЛ с крыши / *украли СТИЛи с сайта / stealth стелС стеалТХ / самолет СТЕЛС *скрытный / *хитрость (steal - стащил) / steel стил стеел / (замена и-а) *СТАЛь *СТАЛьной (still стил всё-ещё до-сих-пор)(steal стил стащить) / still стил / СТИЛь маньяка *все-ещё тот же, бритвой по горло и в колодец / *бесшумный *тихий *спокойный вор украл(steal стил) *неподвижный СТАЛьной наСТИЛ у тебя / *пока этот СТИЛь в моде - мы ещё живы|
 stealthy [стелСи]|скрытный,скрытый||
 stealthily [стелСили]|украдкой||
steam [сти:м]|пар|в стиме играют пар идет / steam стим стеам / *пар идёт у игроков с СТИМе(игры) когда играют в *паровозы / СТИМул *париться в бане на новый год с друзьями|
 steamy [сти:ми]|горячий,парообразный,насыщенный-паром||
 steamship [стим,шип][сти:мшип]|пароход||
steel [сти:л]|сталь,стальной|е=и=а % / steal стил стеал / *СТащИЛ *СТырИЛ *стальной(steel-стил) наСТИЛ с крыши / *украли СТИЛи с сайта / steel стил стеел / (замена и-а) *СТАЛь *СТАЛьной (still стил всё-ещё до-сих-пор)(steal стил стащить)|
step [степ]|шаг,ступать,ступенька|е=у %% / step степ / *СТУПать *шагать СТУПнями по СТУПенькам / агрономы суслики гордо *шагают по СТЕПи / stoop ступ / *наклонные СТУПеньки / *сутулится *наклонять *нагибать (step ступать шагать)|
 footsteps [фут,степс]|шаги,поступь||
 doorstep [дор,степ][до:степ]|порог||
stick [стик]|палка,приклеить|(stuck, stuck) / 2, палка, тыкать-палкой / стикер / stick стик стицк / (stuck, stuck) *прилепить СТИКер *палкой / *приклеить *тыкать-палкой|
 sticky [стики]|липкий||
 sticker [стикэр][стикэ]|наклейка||
 stickiness [стикинэс]|липкость||
 stick-together [стик-тэ'геЗэр][стиктэ'геЗэ]|держаться-вместе||
stool [сту:л]|табурет|стул / stool стул стоол / *табурет почти СТУЛ|
stoop [сту:п]|крыльцо-со-ступеньками(US) / 2,наклоняться,сутулиться|ступеньки / stoop ступ / *наклонные СТУПеньки / *сутулится *наклонять *нагибать (step ступать шагать)|
 stoopy [ступи]|сутулый||
store [стор][сто:]|магазин,магазин / 2,хранить,хранилище|сторож / store стоР сторе / СТОРож охраняет *магазин и *склад / *хранили в *хранилище СТО Рублей|
 bookstore [бук,стор][буксто:]|книжный-магазин||
 drugstore [дрэг,стор][дрАгсто:]|аптека||
 storage [сторэдж][сто:ридж]|хранилище,место-хранения|storage сторидж стораге / *склад *хранилище СТОРОЖат как зеницу ока|
stream [стри:м]|транслировать,поток,ручей|гольф-стрим / гольфСТРИМ - *течение(stream стрим) в океане (gulf галф залив бухта бездна вихрь водоворот воронка пучина поглощать всасывать в водоворот) / stream стрим стреам / гольфСТРИМ это СТРЕМительное *течение в океане / СТРИМ это *потоковое видео|
 downstream [даун'стри:м]|ниже-по-течению,вниз-по-течению||
 upstream [эп'стрим][Ап'стри:м]|вверх-по-течению||
string [стриН]|нить,струна,тетива,бечева|строка% стринги / string стриН стринг / *СТРУНа *веревка *бечевка *шнурок *СТРока / СТРИНГи это *веревочки|
 stringy [стриНи]|жилистый,волокнистый||
strip [стрип]|полоска,полоса,лента / 2,снимать(обнажать)|стриптиз / СТРИПтиз - *снимать *обнажать(strip стрип полоса лента) и *дразнить(tease тиз) / strip стрип / *полосы и *ленты *снимать в СТРИПтизе (stripe страйп полоса нашивка)(striped страипт полосатый, СТРИПТизёр в *полосатой робе сидит за разрат)|
 stripe [страип]|полоса|strip стрип / *полосы и *ленты *снимать в СТРИПтизе (stripe страйп полоса нашивка)(striped страипт полосатый, СТРИПТизёр в *полосатой робе сидит за разрат)|
 striped [страипт]|полосатый|робе сидит за разврат / strip стрип / *полосы и *ленты *снимать в СТРИПтизе (stripe страйп полоса нашивка)(striped страипт полосатый, СТРИПТизёр в *полосатой робе сидит за разрат)|
subordinate [сэ'бордэ,неит][сэ'бо:днит]|подчиненный,подчинять|субординация / subordinate сэбордэнейт субординате / *подчиненный соблюдает СУБОРДИНАЦию / *подчинять|
 subordination [сэ,бордэ'неишэн][сэ,бо:ди'неишэн]|подчинение,подчинённость||
substance [сэбстэнс][сАбстэнс]|вещество,материя|субстанция / substance сабстэнс субстансе / *вещество *материя и СУБСТАНЦия в пробирке зашевелилась|
 substantial [сэб'стЭншэл]|существенный,значительный|substantial сэбстэншэл / СУБСТАНция *значительной опасности сбежала из наШЕй Лаборатории, прячьтесь пока она всех не покусала!|
 substantive [сэбстэнтив][сАбстэнтив]|существенный,основной||
sum [сэм][сАм]|сумма,суммировать|% / sum сам сум / *СУМма *количество *величина *складывать (похоже) но звучит САМ|
 summation [сэ'меишэн][сА'меишэн]|суммирование,подведение-итога||
 sum-up [сэм-эп][сАмАп]|подвести-итог,подытожить||
 summary [сэмэри][сАмэри]|краткое-содержание,сводка,конспект|суммарно / summary самэри суммари / СУММАРнЫй *итог|
summit [сэмэт][сэмит][сАмит]|саммит,вершина,верх|саммит / summit самит суммит / САММИТ это встреча глав правительств и дипломатия на *высшем уровне / *вершина *верх|
superb [су'пэрб][сью:'пэ:б]|превосходно,превосходный|супер-пупер / superb супэрб / СУПЕРмен Был *великолепный *роскошный *прекрасный человек (superior супириэр *высший *превосходящий)|
 superintendent [супэрин'тендэнт][сью:пэрин'тендэнт]|суперинтендант,управляющий,начальник|супер-интендант|
 superior [су'пириэр][сью:'пиэриэ]|начальство,высший,превосходящий|superb супэрб / СУПЕРмен Был *великолепный *роскошный *прекрасный человек (superior супириэр *высший *превосходящий)|
 superiority [супири'орити][сью:,пиэри'орити]|превосходство|супермена|
supervisor [супэр,ваизэр][сью:пэваизэ]|руководитель,инспектор|супервайзер|
 supervise [супэр,ваиз][сью:пэваиз]|надзирать,контролировать|supervise супэрвайз супервисе / СУПЕРВАЙЗер *надзирает и *контролирует и всё супер|
 supervision [супэр'вижэн][сью:пэ'вижэн]|надзор||
support [сэ'порт][сэ'по:т]|поддерживать|саппорт сайта, суппорт станка / support сэпорт суппорт / *поддерживает *поддержка это САППОРТ (сленг) / в станке СУППОРТ *поддерживает барабан с деталью и резец|
 supporter [сэ'портэр][сэ'по:тэ]|сторонник,болельщик||
suppress [сэ'прес]|подавлять,удерживать|репресии / suppress сэпрес / *пресекать *сдерживать *подавлять (press-давить repress-подавлять)|
 suppression [сэ'прешэн]|подавление||
surprise [сэ'праиз][сэр'праиз]|сюрприз,удивлять,удивление|сюрприз / surprise сэрпраиз сурприсе / *СЮРПРИЗ *удивление *неожиданность (surprised сэрпраизд удивленный)(surprising сэпраизин удивительный)|
 surprisingly [сэ'праизиНли][сэр'праизиНли]|удивительно,как-ни-странно||
swap [сВап][сВоп]|менять,обмен|свопы / swap сВоп свап / СВОПы *обменяли С ВОПлями караул грабят (сленг)|
sweat [сВет]|пот,потеть|свитер свет / sweat сВет свеат / в СВИТере жарко от СВЕТа солнца и *пот течёт рекой (sweater светэр свитер)(свит-сладкий)|
 sweaty [сВети]|потный||
swift [сВифт]|быстрый,скорый|свифт-переводы отключим / СВИФТ *быстро писал книги про гулливера (swift свифт скорый стремительный) / swift сВифт / *быстрый *скорый перевод через СВИФТ (банк)|
 swiftness [сВифтнэс]|быстрота||
symbol [симбэл]|символ|%|
 symbolic [сим'балик][сим'болик]|символический||
 symbolize [симбэ,лаиз]|символизировать||
table [теибэл][теибл]|стол,таблица|% стол / table тейбэл табле / ТАБЛО на *столе у судьи / фейсом об тейбл (из анекдотов)|
tall [то:л]|высокий,высокий(чел)|потолок столб / ТАЛЛин город *высоких иностранцев (tall тол) / tall тол талл / *высокий поТОЛок и сТОЛб до неба / toll тоул толл / слишком высокая(tall тоол) *пошлина *плата *тариф, чё делать бум? -вешаться!|
 tally [тЭли]|подсчет,подсчитывать,подсчёт,итог|=высоко|
tan [тЭн]|загар,загорать|тэн / ТАНя *загорает в ТЕНи (tan тэн) / tan тэн тан / в ТЕНи не получишь *загар под трусами / ТЭН *загорелся, спасайтесь / ten тен / *десять негритят загорали(tan) в ТЕНи вместе с таней|
tank [тЭНк]|танк,бак|танкер / tank тэНк танк / *ТАНК / ТАНКер это корабль-*цистерна с *баками под нефть|
tap [тЭп]|кран,кран / 2,стучать|тапком, стоп кран, тапнул по экрану! / tap тэп тап / сТОП *кран в самолёте какого цвета? / ТАПнуть на телефоне это нажать долго / *постучали ТАПком по *пробке *смесителя и случился поТОП, (top топ вершина)|
tape [теип]|лента,записывать-на-ленту|телетайп / tape теип тапе / телеТАЙП с *лентой (type тайп тип печатать типографский) / type таип типе / *ТИП *ТИПичный *модель *символ *литера *шрифт *печать *ТИПографский (tape тейп лента для печати азбукой морзе в телеграфе)(typist тайпист машинистка)|
target [таргэт][тэргэт][та:гит]|цель,мишень|таргетированая реклама / target таргит таргет / ТАРГЕТированная реклама ищет *мишень *цель пожирнее|
tart [тарт][та:т]|пирог,обычно-фруктовый|почти торт / tart тарт / *пирог-фруктовый почти ТОРТ но *кислый|
task [тЭск][та:ск]|задание,задача|натаскивать / tack тэк тацк / ТЫК *кнопку и *прицепил объявление (task-задача) / task тэск таск / нелегкая это *задача - из болота ТАСКать бегемота (за волосы) / на *задачках наТАСКивают двоешников / tusk таск туск / за *клыки ТАСКали бегемота из болота / *бивень (task таск задача)|
taste [теист]|вкус,иметь-вкус|тесто пробовать=тестировать на вкус / taste тейст тасте / *пробовать = ТЕСТировать тестя в тесте / *вкус ТЕСТа / аТЕИСТ куличи на пасху *пробовал на *вкус и написал на всех - бога нет!|
 tasty [теисти]|вкусный||
 tasteful [теистфэл][теистфул]|со-вкусом,вкусный,сделанный-со-вкусом||
 tasteless [теистлэс][теистлис]|безвкусный||
 distaste [ди'стеист][дис'теист]|отвращение||
tax [тЭкс]|налог|таксофон / tax тэкс такс / *налог это ТАКСа / ТАКСуешь плати *налог крыше колёсами|
 taxation [тЭк'сеишэн]|налогообложение||
 taxpayer [тЭк,спеиэр][тЭкс,пеиэ]|налогоплательщик||
 taxable [тЭксэбэл][тЭксэбл]|облагаемый-налогом,налогооблагаемый||
team [ти:м]|команда,бригада|тимур и его * головорезов / team тиим теам / ТИМур и его *команда, тимлид там главный|
tease [ти:з]|дразнить|стрип-тиз / СТРИПтиз - *снимать *обнажать(strip стрип полоса лента) и *дразнить(tease тиз) / tease тиз теасе / ТИЗерная реклама так и *дразнит и уже *надоела / стрипТИЗ *дразнит|
teenage [ти,неидж][ти:н,еидж]|подростковый,возраста-13-19|тинейджер / teenage тинейдж теенаге / *ТИНЕЙДЖер возраста 13-19 Сётин-найнтин (тин-на конце)|
 teenager [ти:н,еиджэ,ти:н]|подросток|(=teen)|
temper [темпэр][темпэ]|характер|темпер-амент / temper темпэР темпер / ТЕМПЕРамент зависит от *характера / *сдерживай свой ТЕМПЕрамент, а то в глаз дам|
temple [темпэл][темпл]|висок / 2,храм|тампл-иеры / temple темпэл темпле / *храм ТАМПЛиеров / *висок от высокого ТЕМПа бешено ПуЛьсирует|
tent [тент]|палатка,шатёр|тент / tent тент / *шатёр и *палатка это ТЕНТ со стенками|
term [тэрм][тэ:м]|срок,период|термин? / термос / term тёрм / *ТЕРМин *семестр *срок *период / ТЕРМос большой *срок тепло держит|
 long-term [лоН-тэрм][лоНтэ:м]|долгосрочный||
 short-term [шорт-тэрм][шо:т-тэ:м]|короткий-срок,краткосрочный||
 terms [тэрмз][тэ:мз]|отношения / 2,условия,соглашение|=сроки|
terminal [тэрмэнэл][тэ:минл]|Терминал,конечный,заключительный|терминал / terminal тэрминэл терминал / *конечный пункт для грузов это ТЕРМИНАЛ / терминатор|
 terminate [тэрмэ,неит][тэ:минеит]|прекратить,завершить(офиц.)|терминатор / ТЕРМИНАТор - *заканчиватель (terminate тёрминейт положить-конец кончаться завершаться)|
 termination [тэрмэ'неишэн][тэ:ми'неишэн]|прекращение||
terrain [тэр'еин][тереин]|местность|террариум / terrain терейн терраин / *местность это *ТЕРРИтория / ТЕРРАриум имитация родного *края|
terror [терэр][терэ]|террор,ужас|террор это * / terror терэр террор / *ТЕРРОР вызывает *страх и *ужас|
 terrorize [терэр,аиз]|терроризировать,держать-в-ужасе||
 terrible [терэбэл][терэбл]|ужасный|теребил боляку терорист / terrible терэбэл террибле / ТЕРРОрист БЫЛ *ужасный и ТЕРЕБИЛ *страшную болячку|
 terrify [терэ,фаи][терифаи]|пугать,устрашать|terrify терифаи террифи / *ужасает и *запугивает государство ТЕРРОрист новыми ТАРИФАми|
 terrific [тэр'ифик][тэ'рифик]|ужасающий,потрясающий||
text [текст]|текст,писать(сообщение)|текст|
theater [Сиэтэр][Сиэтэ]|театр|(=theatre) / с=т % / theater Сиэтэр / (=theatre) *ТЕАТР (почти похоже)|
theme [Си:м]|тема|с=т %|
thermal [Сэрмэл][Сэ:мэл]|термический,тепловой|термалный / thermal Сёрмэл ТХермал / *тепловой и ТЕРМАЛьный источник|
thorn [Сорн][Со:н]|шип,колючка|сорняки / thorn СоРн ТХорн / СОРНяк с *колючками и *шипами|
 thorny [Сорни][Со:ни]|тернистый,колючий||
thrill [Сфрил]|трепет,дрожь,дрожать|триллер / thrill Сфрил / в ТРИЛлере ощущают *волнение *возбуждение и *трепет когда его смотрят|
 thrilling [СфрилиН]|захватывающий||
title [таитэл][таитл]|заголовок|титульный лист / title таитэл титле / на ТИТУЛьной странице *заглавие и *заголовки / *название *ТИТУЛ *наименование *раздел|
 subtitle [сэб,таитэл][сАб,таитл]|субтитры,подзаголовок||
token [тоукэн][тэукэн]|жетон,знак,признак,маркер|токен / token тоукэн токен / *знак *признак *маркер ТОКЕН(комп)|
tolerance [талэрэнс][толэрэнс]|терпимость,толерантность|% / tolerance толэрэнс толерансе / *ТОЛЕРАНТНОСть *допуск *отклонение *выносливость *терпимость|
 tolerate [талэр,еит][толэреит]|терпеть|tolerate толэрейт толерате / ТОЛЕРАнТный терпила *терпит всё|
 tolerant [талэрэнт][толэрэнт]|терпимый||
tooth [ту:С]|зуб|(pl:-teeth) / блютус / БЛЮтус - *голубой(blue блю) + *зуб(tooth туС) = беспроводная связь / tooth туС тооТХ / (teeth-зубы) ТУЗик *зубами порвал грелку / блюТУС - голубой(блю) зуб(тус) типа вайфай но недалеко и взломать легко|
 toothpaste [туС,пеист][ту:Спеист]|зубная-паста|toothpaste туСпеист тооТХпасте / *зубная-паста = зуб + паста|
 toothbrush [туСбрэш][ту:СбрАш]|зубная-щетка|toothbrush туСбрэш тооТХбруш / *зубной-щетка = зуб + щетка|
 toothache [ту:Сеик]|зубная-боль||
 toothpick [туС,пик][ту:Спик]|зубочистка||
topic [тапик][топик]|тема,предмет-обсуждения|топик офтопик на форуме / topic топик / *тема *предмет-обсуждения в ТОПИКе форума (офтопик это не по теме)|
 topical [тапэкэл][тапикэл][топикэл]|актуальный,тематический||
total [тоутэл][тэутл]|общий,полный,всеобщий|тотальный / total тоутэл тотал / *всеобщий и ТОТАЛьный контроль (totally тоутэли полностью) / *итог *полный *суммарный|
 totality [тоу'тЭлэти][тэу'тЭлити]|совокупность,множество||
touch [тэч][тАч]|трогать,касаться,прикосновение / 2,связь,контакт|тачскрин / ТАЧскрин - *трогать(touch тач) + *экран(screen скрин) = сенсорная панель / touch тач тоуч / ТАЧскрин - *трогать(тач) экран(скрин) / *касаться *прикосновение *связь *контакт / не *трогай мою ТАЧку грязными руками (тачи-обидчивый тачи нож)|
 touching [тэчиН][тАчиН]|трогательный||
 untouched [эн'тэчт][Ан'тАчт]|нетронутый||
 untouchable [эн'тэчэбэл][Ан'тАчэбл]|неприкасаемый||
 in-touch [интАч]|на-связи||
tournament [турнэмэнт][туэнэмэнт]|турнир|%%|
trace [треис]|след,отслеживать|трасирующие пули / СТРИТ-трейсеры по *улице(street стрит) гоняют (trace трейс след знак отпечаток прослеживать разыскивать выслеживать следить следовать) / trace трейс трасе / *прослеживать *след ТРАСирующих пуль, их видно!|
track [трЭк]|отслеживать,след,выслеживать|по треку посылку / САУНДтрек - *звук(sound саунд) *дорожка(track трек) = звуковая дорожка / track трэк трацк / *выслеживать по *ТРЕКу посылку с али целый год, она обошла вокруг света три раза / *след *колея *курс *путь по ТРАКту|
 track-down [трЭк-даун][трЭкдаун]|выследить,разыскать,отследить||
 hunt-down [хАнт-даун]|выследить,отлавливать||
trader [треидэр][треидэ]|трейдер,торговец|%|
 trade [треид]|торговля,торговый|trade трейд траде / ТРЕЙДер *торгует (а дилер сделки заключает) / *торговля *торговый|
traffic-light [трЭфик-лаит][трЭфиклаит]|светофор|движение+свет / traffic трэфик траффик / ТРАФИК это *движение байтов по интернету и машин по дороге (traffic-jam трэфикджэм пробка)(traffic-light трэфиклаит светофор)|
trail [треил]|тащить,след,тропа|трейлер / trail треил траил / ТРЕЙЛер ехал по *тропинке оставляя *след (трей-поднос)|
train [треин]|тренироваться,поезд / 2,тренировать,обучать|трамвай % / train трейн траин / *поезд это очень большой ТРАНвай (трамвай) / ТРЕНер *воспитывает и *тренирует в трениках|
 trainer [треинэр][треинэ]|тренер|%|
 trained [треинд]|обученный||
tram [трЭм]|трамвай|% / ТРАМ+вай - *трамвай(tram трэм) + *путь(way вей) / tram трэм трам / ТРАМ+вай = *трамвай(tram) + путь(way)|
transcript [трЭнс,крипт]|стенограмма,расшифровка,текст|транскрипция / transcript трэнскрипт / ТРАНСКРИПция это *расшифровка звуков / *копия *запись|
transfer [трЭнс'фэр][трЭнс'фэ]|передача,перевести,передать / 2,перевод('трЭнсфэ)|трансфер / transfer трэнсфэр трансфер / *перевести *перевод через ТРАНСФЕР (банк)|
transition [трЭн'зишэн][трЭн'сижэн]|переход|транзит транзистор с * переходом / transit трэнсит трансит / *ТРАНЗИТ это *перевозка (transition переход) / ТРАНЗИсТоры с pnp *переходом|
 transitional [трЭн'сишэнэл][трЭн'зишэнэл][трЭн'сижэнл]|переходный||
transmission [трЭнс'мишэн][трЭнз'мишэн]|передача-инфекции,передача|трансмиссия|
 transmit [трЭнз'мит]|передавать,переносить|transmit трэнзмит трансмит / ТРАНСМИСсия *передаёт вращение / *переносить (carry кэри везти нести)|
trench [тренч]|траншея|ч=ш %%|
triangle [траи,ЭНгэл][траиЭНгл]|треугольник|три+угла %|
 triangular [траи'ЭНгьэлэр][траи'ЭНгьюлэ]|треугольный||
trick [трик]|обманывать,трюк,фокус,уловка|и=ю % / trick трик трицк / *ТРЮК *уловка *обман *хитрость *обманывать / *хитрит лиса паТРИКеевна|
 tricky [трики]|сложный,мудреный||
 trickery [трикэри]|обман,надувательство||
trigger [тригэр][тригэ]|курок,спусковой-крючок|триггер / trigger тригэр триггер / *спусковой-крючок и *защёлка это *ТРИГГЕР в микросхеме|
trim [трим]|подрезать,подстригать,обрезать,ровнять|триммер / trim трим / ТРИМмером *подстригать *обрезать *ровнять волосы|
trophy [троуфи][трэуфи]|трофей,приз|+й %|
trousers [траузэрз][траузэз]|брюки|трусы,  пантс / trousers траузэрз троусерс / под *брюки и *штаны одел ТРУСЫ|
trust [трэст][трАст]|доверять|трастовый фонд / trust траст труст / *доверять ТРАСТовому фонду на *доверии / ТРУС не *доверял ТРЕСТу который лопнул / у внучки была сТРАСТь разводить *доверчивого дедку на бабки|
 entrust [ен'трэст][ин'трАст]|поручить,вверять||
 trusty [трэсти][трАсти]|верный,надежный||
 mistrust [ми'стрэст][мис'трАст]|недоверие||
 distrust [ди'стрэст][дис'трАст]|недоверие||
 trustee [трэс'ти][трАс'ти:]|попечитель,доверенное-лицо||
tube [туб][тью:б]|трубка,метро(в-Лондоне) / 2,труба,тюбик|% / юТЮБ - *ты(you ю) + *труба(tube тьюб) / pipe пайп пипе / ПИПЕтка это *трубка и резинка (tube-труба-тюбик) / tube тьюб тубе / ТЮБИк это *трубка с крышечкой / *метро это *труба с рельсами|
tug [тэг][тАг]|буксир,тянуть,рывок|тягач / tug таг туг / *буксир это ТЯГач / *рывок *ТЯнуть|
 tugging [тэгиН][тАгиН]|дергать,буксировка||
tumble [тэмбэл][тАмбл]|падать,перевернуться,кувыркнуться|тумблер / tumble тамбл тумбле / я ТАМ БыЛ, мёд пиво пил и *падал со смеху под стол / ТУМБЛЕр *переворачивал контакты / *опрокидывать|
tuna [тьюнэ][ту:нэ]|тунец|+ц %% / tuna тьюнэ туна / (добавили ц) *ТУНЕц|
