#Xing*2025/750(1600) похожих + 1700(3200) родственных (уровень примерно A2+В1)
#сайт: en-ru-dict.github.io/ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы)
# %-похоже, %%-немного-похоже æ=Э ŋ=Н θ=С ð=З w=В ʌ=А Р-амер аи=ай
# Все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте или переделайте! 3700 слов примерно тоже самое, но здесь больше ФА + словоформы (сущ,прил,нареч) 2300 слов, но нет имен, названий и расшифровок слов. Слова частые из списков 7700+3000+5000 из разных источников + амер.тр и гугл перевод. 
#(ещё до конца недоделано, но учить можно 1500 слов 2 уровня сложности)
#
AM-PM[ей'ем-пи'ем]|до-после полудня|время 0-12ч|
explain[икс'плеин]|объяснять|мистер фИКС *объяснял новый ПЛАН, у него всегда есть план! (мульт)/железный фелИКС *объяснял ПЛЕНным как сбежать/ex+ (plain~плейн очевидный,ясный *понятное ПЛЕНарное заседание)|explanation[експлэ'неишэн]объяснение/ ЭКСПЛУатировали НАЦИЮ нацистов без *объяснения причин/-tion сущ
explore[икс'плоР]|исследовать,изучать|+недра чтобы потом ЭКСПЛУАтиРовать (е=и)/браузер - интернет ЕКСПЛОРер от микрософт чтобы интернет *исследовать/когда проводилось *исследование нового препарата, *исследователи ЭКСПЛУатиРовали нас, никто не выжил..| exploration[експлэр'еишэн][експло:'реишэн]разведка,исследование/-tion сущ// exploratory[икс'плорэ,тори][екс'пло:рэтэри]исследовательский =эксплуататорский// explorer[икс'плорэр][икс'пло:рэ] ЭКСПЛУАтатоР рабов был раньше *исследователь америки/-er исполнитель разведки//unexplored[эникс'плорд][Аникс'пло:д]неизведанный/un=не, -ed уже
exterior[ик'стириэр][екс'тиэриэ]|внешний,внешняя-сторона,экстерьер|%/(а интерьер внутри)| external[ик'стэрнэл][екс'тэ:нл] *внешние обстоятельства не помешали интернам сдать ЭКСТЕРНом экзамены по шпаргаЛке//extra[екстрэ]дополнительный это внешния приблуда/ экстра-класс это не супер-пупер, а *дополненный офигенными фичами
extract[ек,стрЭкт][ик'стрЭкт]|извлекать|+ *ЭКСТРАКТ % сока из ягод (е=и)/*выдержка *вытяжка *выжимать|extraction[ек'стрЭкшэн][икс'трЭкшэн]добыча,извлечение/-tion сущ
extreme[ек'стрим][икс'три:м]|крайний|е=и, от слова ЭКСТРИМальный - *крайний случай/ *крайним стал ЭКСТРИМист/ЭКСТРИМ - *крайне рискованный вид спорта|extremely~икстримли чрезвычайно//extremity[ек'стремэти][икс'тремити]конечность,крайность ЭКСТРЕМИсТА/-ty сущ
eyebrow[аи,брау]|бровь|=глаз + бровь/АЙ, еве БРАУн *брови выщипывают, больно же!| brow[брау]бровь % коричневая(brown~браун) но звучит БРАУ/*бровь это *выступ над глазом
eyelid[аи,лид]|веко|=глаз + крышка(lid~лид ЛИДер по собиранию *крышек тебе *крышка)|
#
fable[феибэл][феибл]|басня|ФАБУЛа в *басне это когда ворона открыла рот и сыр выпал, погугли/ФЕЯ по БЛату тебе *сказку на ночь читала| fabulous[фЭбьэлэс][фЭбьюлэс]поразительнй,невероятный,легендарный =сказочный/-ous прил
fabric[фЭбрик]|ткань,материал|+делают на ФАБРИКе (а фабрика это factory мануфактура)/ ФАБРИКа по производству *материалов дымит и сливает в реку мазут, безобразие!|
facial[феишэл]|уход-за-лицом,лицевой|(face~фейс лицо фейсконтроль) +al прил|
faculty[фЭкэлти]|дар,способность,факультет|% выявляет у гениев *способности и *дар|
fail[феил]|неудача,потерпеть-неудачу|*провал (fall~фол падать,осень,выпадение-волос)/ *не-удалось стащить секретные ФАЙЛы с твоего телефона/ФАЙЛы ненужных данных *не-удалось восстановить и слава богу/из-за ФЕИ *проваЛилась миссия шрека|foul~фаул грязный, отвратительный *провал//failure[феильэР]отказ,неудача,провал/файлуре u-откр.слог =ью
fair[фер][феэ]|светлый/2,справедливый,честный|her hair is fair = ФЕЯ из сказки со *светлыми волосами, никогда тебя не забуду, любовь моя/*светлые ФАРы светят далеко(far~фар)/*ярмарка ФЕРмеров была *справедливая и *честная, цены ниже чем в магните в 2 раза/ФЕЯ была *любезна и обманула шрека/ФЕя былА *справедливой и *честной старой ведьмой|fare~фер,феэ плата-за-проезд//fear~фир,фиэ страх наводит маФИЯ на ФИРмы// fairness[фернэс][феэнис]справедливость/-ness сущ// unfair[он'фер][эн'фер][Ан'феэ]несправедливый/un=не// fairly[ферли][феэли]весьма,довольно,вполне/в каФЕ ЕЛИ *довольно много фей и фермеров/-ly нареч//fairy[фери][феэри]сказочный,фея %/ФЕРИ это *волшебное средство для посуды
fall[фо:л]|осень(US)/2,падать,впадать|ФОЛ в футболе это *падение/уФОЛог *упал, увидев нло у себя под кроватью/*впасть-в-состояние/*осенью *падают листья/ФОма *падаЛ в речку с крокодилами и кричал неверю, они его съели|autumn~отэм ранО ТЕМнеет *осенью//fail~феил провал//foul~фаул грязный,отвратительный//full~фул *сытый был *полный дурак(fool~ФУЛ) и низко *пал(fall~фол)//fall-apart[фал][фол-э'парт][фо:лэ'па:т]развалиться на части(part~парт)//come-apart[кАмэ'па:т]развалиться =прийти+встороне// fall-asleep[фол-э'слип][фо:лэ'сли:п]засыпать,уснуть =впасть в спящий// fall-back-on[фол-бЭк-он][фо:лбЭкон]отступать,опереться,прибегнуть/+назад,спина+на// fall-behind[фол-би'хаинд][фо:лби'хаинд]отставать/+позади// fall-for[фол-фор][фо:лфо:]вестись/2,влюбляться =впасть+для// fall-in-love-with[фол-ин-лэв-ВиЗ][фо:линлАвВиЗ]влюбиться-в,влюбиться =впасть в любовь// fall-out[фол-аут][фо:лаут]выпадать,ссориться/=впасть+вне/они *поссорились из-за ФАЛьшивых АВТоматов и перестрелялись//fall-over[фол-оувэр][фо:л'эувэ]упасть,перевернуться/+через// knock-over[нок-'эувэ]опрокинуть =ударить+через// fall-through[фол-Сфру][фо:лСфру:]провалиться =падать+через/
fame[феим]|известность,слава|ФАМусов *знаменитость|famous[феимэс]известный,знаменитый ФАМУСов со школы из горе от ума/ многие ФЕИ МОСквы *знаменитые и живут на рублевке с эльфами//defamation[дефэ'меишэн]клевета,поношение =антизнаменитость/de=не, -tion сущ
familiar[фэ'мильэР][фэ'милиэ]|привычный,знакомый|+ФАМИЛИАРничал и бил тебя по голове дубиной/*знакомая у тебя ФАМИЛИЯ и Рожа, снимай парик я тебя узнал/ФАМИЛЬЯРно общаться можно только со *знакомыми собаками во дворе, чужие за это ногу откусят| familiarity[фэ,мил'йерэти][фэ,мили'Эрити]знакомство/-ty сущ// unfamiliar[энфэ'мильэр][Анфэ'милиэ]незнакомый/un=не// familiarize[фэ'мильэр,аиз][фэ'милиэраиз]ознакомить-ся с семьей(фэмили) глазами(райз)
fan[фЭн]|вентилятор|~ФЕН с *вентилятором/ФАНат *веером от своего кумира мух отгонял| fun~фан веселье,забава в ФАН-клубе у ФАНатов карлсона с *вентилятором
fancy[фЭнси]|изысканный,необычный,причудливый,модный|*ФАНтаСтИческий *ФАНтаЗИя/муз.гр ФЭНСИ - *причуда *воображение *каприз (пела слайс ми найс - порежь меня на кусочки)|
faraway[фарэ'Веи][фа:рэ,Веи]|далеко,далёкий|=далеко + прочь|
fare[фер][феэ]|стоимость-проезда,плата-за-проезд|+на ФЕРму/добрая ФЕЯ *заплатила-запроезд в рай и забрала душу|hare~хер,хеэ заяц безбилетник с наглой ХАРЕй едет без билета// fair~фер,феа *справедливая и *честная *плата-за-проезд на ФЕРму// farewell[фер'Вел][феэ'Вел]прощальный,прощание =плата+хорошо/злая ФЕЯ ВЕЛа *прощальный разговор с тобой и на *прощание стёрла тебе память
fashion[фЭшэн]|мода/2,стиль,образ,манер|ш=с *ФАСОН/на ~ФЕШЕНебельных курортах появилась *мода заплывать за буйки и дергать акул за хвост/новый ФАСОН это *мода и *стиль|mode~моуд *МОДА *метод *способ *образ *режим//fashionable[фЭшэнэбэл][фЭшнэбэл][фЭшнэбл]модный =фешенебельный/-able прил способный//unfashionable[эн'фЭшэнэбэл][Ан'фЭшнэбл]немодный// old-fashioned[оулд-фЭшэнд][эулд-'фЭшэнд]старомодный/старый +ed уже сделанный
fasten[фЭсэн][фа:сн]|закрепить|+быстро(fast~фаст) (т-немая)/при ФАСОвке *закрепить *застегивать/ФАС и собаки *сцепили пасти На твоей шее/ФАС - Эту комаНду можно *связать с задержанием/ФАСОН этого вечернего платья достаточно странный - поверх платья *пристегнут бронежилет и гранаты|unfasten[Ан'фа:сн]отстегнуть,открепить/un=не крепить
fat[фЭт]|толстый,жир,жирный|ФАТа в *жирных пятнах на *жирной невесте и сама она уродина| fatness[фЭтнэс]упитанность =жирность/-ness сущ состояние//fatten[фЭтэн][фЭтн]откармливать ФАТалиста На убой - это судьба такая
fault[фо:лт]|вина,ошибка/2,недостаток,неисправность|au=о, деФОЛТ это *вина *недостаток *небрежность *провинность правительства (fall~фол падать)/*неисправность привела к *ошибке и ты получил 380 ВОЛЬТ из розетки|faulty[фо:лти]ошибочный,неисправный/-y прил// faultless[фо:лтлис]безупречный =без недостатка/less=без
fear[фир][фиэ]|страх,бояться|маФИЯ наводит *страх на ФИРмы/ехал на ФЕРАри 500 км в час и сорвался в пропасть, было *страшно пока не разбился/ФИАлетова деваха (из люди икс) наводит *страха (violence~вайэлэнс жестокость насилие)/*страх ФИОны в замке с драконом/ кеФИР *боится полбатона/в прямом эФИРе о захвате земли инопланетянами, все прыгали из окна от *страха/ФАРы ночью в лесу вызывают *страх и ужас - кто то закапывает трупы/омон в ФИРме рога и копыта навел *страху и положил всех мордой в пол|fair~фер,феа *светлый свет от ФАР/*ярмарка ФЕРмеров *справедливая и *честная/fare~фер,феэ плата-за-проезд вызывает *страх ходить пешкодрапом на работу 20 км// fearful[фирфэл][фиэфул]пугливый,напуганный,пугающий/ful-прил полный испуга// fearless[фирлэс][фиэлис]бесстрашный/less=без
feast[фи:ст]|праздник,пир|+на ~ФЕСТивале (е=и)|first~фёст первый ФЕСТиваль у валь// fist~фист *кулак устроил *пир во время чумы и его раскулачили//festive[фестив]праздничный ~ФЕСТИВаль/-ive прил/festivity[фе'стивэти][фес'тивити]праздник,торжества/-ty сущ
feat[фи:т]|подвиг,свершение|купить ФИАТ (жигули) это *подвиг/*искусный *ловкий поджог ФИТиль/ты совершил *подвиг когда записался на ФИТнес и купил ФИАТ|fit~фит (fit,fit) ФИТнес придает *подтянутую *форму тела/когда пойдешь на ФИТнес, то вся одежда, которую ты выбросила *будет-в-пору/*приступ *припадок от ФИТнеса и *подвига
feather[феЗэР]|перо|ea=е, отец(father~фаЗэР) чудо в *перьях нашел три *пера и заболел/ ФрЕЗЕРовщик точит золотое *перо для ручки|further~фэрзэр *дальше летит *пернатый feathering[феЗэриН][феЗриН]оперение/-ing сущ
feature[фичэР][фи:чэ]|черта,особенность|ea=и, ~ФИЧА (сленг)/эта ФИшка - *ЧЕРта и *особенность чёрта|featured[фичэрд][фи:чэд]избранный,напоминающий,похожий на фичу
fee[фи:]|платеж,плата,гонорар|ФИговое *вознаграждение ты получил за адский труд и штраф(fine~файн)/ФИгу показал и не *заплатил, ловите его!|
feed[фи:д]|кормить|(fed,fed)/(food~фуд еда)/ФИДель кастро *кормил партизан обещаниями из кастрюли/*кормили тебя быстро едой фастфудом(=быстро+еда)| fed-up-with[федАп]надоело,сыт-по-горло/+вверх=готово/ФЕДЯ *сыт-По-горло, хорошо кормят на стройке, а шурик ест кефир и полбатона//feed-on[фид-он][фи:дон]питаться/+на столе// feedback[фид,бЭк][фи:дбЭк]обратная-связь =кормить+назад завтраками что скоро усё исправят не успеешь даже состариться
feel[фи:л]|чувствовать,трогать,щупать|(felt,felt)/ФИЛантроп *чувствует что он труп/ штирлиц шёл по лесу и вдруг *почувствовал на себе чей-то взгляд, ФИЛин - подумал штирлиц, сам ты ФИЛин- подумал мюллер/ФИЛософ *чувствует что пора на пароход/сижу в мягком кресле, пью чай с пироженкой, смотрю ФИЛьм титаник, и вдруг *чувствую, как мои ноги почему-то стали мокрыми, это же вода! она поднималась всё выше и выше, уже добралась до шеи, я пытаюсь всплыть, но кто-то *трогает меня за ногу и тянет вниз под воду../когда я *чувствую голод, я ем ФИЛе/я *чувствую, как волнуется простоФИЛя внутри меня|fill~фил наполнять//feel-for[фил-фор][фи:лфо:]чувствовать,сочувствовать/+для// feel-like[фил-лаик][фи:ллаик]чувствовать-себя-как,хотеть/+подобно
fellow[фелоу][фелэу]|парень,человек/2,товарищ-по|*товарищ следуй за мной (follow me)/ /*парень простоФИЛЯ/на ФЕрме ЛОВкий *парень катался на быке|follow~фолоу ФОЛОВеры *следуют за кумиром *парнем в соцсетях// fellowship[фелоу,шип][фелэушип]общение,товарищество,братство на корабле-шип
fence[фенс]|изгородь,забор,огораживать|на ФИНСкой границе построили *забор от варваров/ *скупщик *перекупщик краденого/*забор крашенный ФЕном СУшу и всё до фени/ФИНСкие *заборы вдоль границы заминировали|offence~эфенс из-за *оскорблений и *обиды отгородился *забором от всех//fend~фенд отражать,отгонять (defend~дифенд оборонять,защищать)// fend-for-oneself[фенд-фоР]постоять-за-себя,позаботиться-о =ограда+для+себя// fend-off[фенд-оф]отбиваться,защищаться =забор+прочь
ferry[фери]|перевозить,переправа,паром|аФЕРИсты угнали *паром с паром/ФЕРРИтовые кольца везли на *пароме на ФЕРРосплавнЫй завод/матрос драил речной *паром губкой с моющ.сред ФЕЙРИ(fairy~фери волшебный)|
fertile[фэртэл][фэР'таил]|плодородный|ФЕРТИЛьный возраст когда *плодородный/ФЕРмы в ТАЙЛанде были *плодородными, там тепло|infertile[ин'фэртэл][ин'фэ:таил]бесплодный и нефортунный/in=не//fertility[фэр'тилэти][фэР'тилити]рождаемость,плодородность,плодовитость/на ФЕРме ТЕЛИТься/-ty сущ//infertility[инфэр'тили,ти][инфэ:'тилити]бесплодие/in=не// fertilize[фэртэ,лаиз][фэ:тилаиз]удобрять для *плодородности// fertilizer[фэртэ,лаизэр][фэ:тилаизэ]удобрение/-er исполнитель удобрять
fever[фивэР][фи:вэ]|высокая-температура,лихорадка,жар|+в ФЕВРальские морозы/ФИлософ ВЕРнулся (опоздал на пароход) и от этого *повысилась-температура|feverish[фи:вэриш] ты *лихорадочный ФИг ВЕРИШ что аспирин поможет от *жара
fibre[фаибэР]|волокно|(=fiber)/*волокно микроФИБРА для ветровок| fibrous[фаибрэс]волокнистый/-ous прил
fiction[фикшэн]|вымысел,худ.литература|т=ш=ц ~ФИКЦИЯ| fictional[фикшэнэл][фикшэнл]вымышленный/-al прил// nonfiction[нан'фикшэн][нон'фикшэн]документальная-литература =не худ.фильм/-tion сущ
fidelity[фаи'делэти][фэ'делэти][фи'делити]|верность|ФИДЕЛЬ касТро хранИл *верность революции|infidelity[инфи'делити]неверность/in=не//infidel[инфи,дел][инфидэл]неверный атеист, а fidel-верный?
field[фи:лд]|поле,область|ФИЛаДельфия - *поля и *луга с эльфами/коперФИЛЬД показал фокус и медное(copper~копэР) *поле исчезло!|yield~йилд *урожай на *поле
fierce[фирс][фиэс]|яростный,свирепый|+ФИРСов лучший хокеист забил шайбу|force~фоРс ФОРС мажор *принудил *силой мажоров попрощаться с красивой жизнью (и пойти копать окопы и таскать снаряды) - *лютый *свирепый начальник *заставил// fierceness[фиРснэс]жестокость,свирепость/-ness сущ состояние
fight-back[фаит-бЭк]|дать-отпор,отбиваться|=борьба + назад| fight-off[фаит-оф]отбиваться,отбить =борьба + прочь
figure[фигьэр][фигэ]|полагать,думать,фигура|% но звучит ФИГЬЕР/толстые *думают о *фигуре| figure-out[фигьэр-аут][фигэраут]понимать,понять,придумать/ФИГУРАльнО *понимать/не *понимаю почему ФИГУРисты в АВТобусе едут с лыжами на каток// sort-out[соРтаут]разбираться,разобраться =сортировка+вне// work-out[ВэРкаут]тренировка,найти-решение/ВОРКУТа *разработала новую вакцину от снега/ *тренируясь, ВОРобьи успевают поВОРКовАТЬ с ВОРонами на тайм АУТе
fill[фил]|наполнять|+ФИЛьтр|fill-in[фил-ин] ФИЛИН *заполнял дупло мышами// fill-out[филаут]заполнить,заполнять/+снаружи// fill-up[фил-эп][филАп]заполнить,наполнить-целиком/+вверх=готово// top-up[топАп]пополнить,наполнить-целиком =вершина+вверх/в банк ТОПАл ПАПа *пополнить счет
film[филм]|фильм,снимать-кино|*ФИЛЬМ % *сняли на *пленку/ФИЛЬМоскоп для просмотра *пленки|
find-out[фаинд-аут]|выяснить|=найти + вне/король *узнал что ФИНансы Дании ОпУсТошены, ой чё будет|
fine[фаин]|пеня,штраф/2,утонченный,изящный,очищенный|*изящную ФАИНу-фаинУ *оштрафовали за песню про на-на|refine~рифайн *очищают РАФИНированное масло и *усовершенствуют =пере + очищенный
fingertip[фиНгэР,тип]|кончик-пальца|=палец + кончик|
fir[фэР]|пихта,ель|ФИРма веники не вяжет, а продает ФИРменные *ёлки палки на новый год/ голубые *ели на ФЕРме и пили/ФЕЯ села на *ель рядом с вороной с сыром и заговорила ей зубы|firm~фёрм *упругие *твердые *ели продают в ФИРМе ёлок, а какой запах..
firm[фэРм]|твёрдый|не фирма!/и=ё, *упругие *твердые ели(fir~фёр) продают на новый год в ФИРМе ёлок, а какой запах../на ФЕРМе офис ФИРМы *крепкие рога и *твердые копыта/ФИРМа очень *крепкая и выпускает *твердые сыры, зубы сломать можно| firmness[фэРмнэс]твердость/-ness сущ состояние
fisherman[фишэр,мЭн][фишэРмэн]|рыбак|=рыба + чел на лыжах ФИШЕР| fishery[фишэри]рыболовство//fishing[фишиН]рыбалка это рыбание(fish+ing) и в инете мошенники *ловят рыбку в мутной воде на фальшивых сайтах похожих на настоящие/-ing сущ процесс ловли рыбы
fist[фист]|кулак|ФИниСТ ясный сокол сВИСТел в *кулак/*кулаком разобью ФИСТашки/ФЕСТиваль по измерению *кулаков/угадай в каком *кулаке ФИСТашка|feast~фист *праздник *пир во время чумы на ФЕСТивале устроил кулак и его раскулачили//first~фёст первый фестиваль у валь
flame[флеим]|пламя,пылать|ф=п %%/*Факела *пЛАМЯ/ФЛЕЙта упала в *плаМя, ах|
flap[флЭп]|лоскут,створка,клапан,хлопать|ф=х % *створкой|
flare[флер][флеэ]|вспышка,вспыхивать|~флористенция|
flash[флЭш]|вспышка,вспыхнуть|ФЛЭШмоб = *вспышка + толпа(mob~моб мафия)/ФЛЕШка это память с *мгновенным доступом/*вспышка-молнии/ФЛАЖки *красовались на лыжне и *сверкали, но ты всё равно поехал хз куда|slash~слэш СЛЭШ это знак *косая черта/*разрез *прорезь *вырубка *косить *хлестать//flashy[флЭши]кричащий,яркий,показной =вспыхивающий/-y прил// flashlight[флЭш,лаит]фонарик =вспышка+свет
flat[флЭт]|квартира/2,плоский,ровный|из окна *квартиры торчит ФЛАг и пулемёТ, живыми не возьмёте!/*квартиру морФЛОТа продали под бордель (кино)/на ФЛЕйТе играют в *квартире сверху по ночам, -эй вы там наверху/*плоский ФЛАг гладяТ утюгом| flatten[флЭтэн][флЭтн]сгладить,расплющивать ФЛОТНую бескозырку белую в полоску воротник
flea[фли:]|блоха|+ФЛИртует с кошкой/левша прибил подковы на туФЛИ *блохе, вау/ФЛИ-маркет *блошиный рынок где ФЛИртуют с продавщицами и покупают *блох для домашних питомцев|
flee[фли]|спасаться-бегством|(=fled,fled)/она всегда *убегает, если с ней начинают ФЛИртовать, терпеть этого не может и *спасается только *бегством из тюрьмы/ блоха(flea~фли) *спасается от ловли блох|
fleet[фли:т]|флот|и=о %/капитан ФЛИнТ и его *флот сделали финт ушами/конФЛИкТ во *флоте, кормят одной рыбой, задолбали уже, хотим макароны по *флотски!| fleeting[фли:тиН]мимолётный,скоротечный ФЛИрТ и конФЛИкТ закончился дракой/-ing прил?
flight-attendant[флаит-э'тендэнт][флаитэ'тендэнт]|бортпроводник|=полет+интендант/ *бортпроводник раздал нам ФЛАЕры о ТЕНДЕНции самолёТов разбиваться|
flight[флаит]|бегство/2,полёт,рейс|*перелет Фанерного ЛАЙнера Туда (fly~флай муха летать) /во время *рейса в столовую раздавали ФЛАЕры на Тарелках|fight~файт *бой *бороться/ *полёт истребителей в воздушном *бою/fright~фрайт *испуг *страх в *полете и воздушном *бою
float[флоут][флэут]|плавать,плыть|oa=оу, ~ФЛОТ *плавает/числа с *плавающей точкой, а double - двойной размер float/ФЛОмастер ЭТот не тонет, как *поплавок сразу *всплывает будто на нём *плавательный-пояс|flow[флоу][флэу]поток,течь/ФЛОУресцентные лампы излучают *поток света/весь лилипутский ФЛОт смыла *стрУя гуливера/ФЛОра У *потока водопада работает живой оградой/*поток несёт наш ФЛОт на скалы, ааа, мы все Умрем
flood[флэд][флАд]|потоп,наводнение,наводнять|(flow~флоу поток)/звучит флАд а не флУд!/ *потоп крови(blood~блад) в ужастике, какой ужас/ФЛОТ помог при *наводнении спасти нас (а ~флуд это *потоп слов в чате бла-бла)|flood-in[флэд-ин][флАдин]наплыть,валить-потоком/+в
floor[флоР]|пол/2,этаж|(sex~секс пол жен-муж)/на *полу на первом *этаже ФЛОРистка сажает цветы в *пол, а они не растут, че за дела?/*пол красили ФЛОмастеРом и посыпали мукой/ Фармацевт и ЛОР сами мыли *пол на *этаже в больнице, докатились/весь морФЛОт - живет в одной квартире(flat~флЭт) на первом *этаже/весь *этаж был заполнен ФЛОРой, напоминающей фауну (кино про зомби)/на последнем *этаже ФЛОРист ест цветы - он веган|flour~флаур мука
flop[флап][флоп]|провалиться,провал,неудача|+записи на ФЛОПи диск/ФЛОПпи диск это дискета *шлепнулась и *плюхнулась на пол и разбилась, ах|
flu[флу:]|грипп|+у мухи(fly~флай) зимой и еле ползает/при *гриппе сделали ФЛЮрографию, а там ковид, мест в больнице больше нет, так что ползи сразу к кладбищу/болея *гриппом нужно есть ФЛУкты (и ходить к логопеду р учить)|
fly[флаи]|муха,летать|ФЛАЙер *летает по улице, лови его!/*мухи болеют грипом(flu~флу) когда холодно и еле ползают/когда мы *летели в самолёте, в салоне *летали *мухи и раздавали ФЛАЙеры на день варенья/*муха по квартире(ФЛЭт) *летИт, лови её/Фазан испугался ЛАЙки и *улетел в фазанку учиться на слесаря|sly~слаи/ ты прибил(slay~слей) *коварную *ловкую *хитрую *муху которая тебя достала//flight~флайт флиГХТ полет,перелет *мухи// dragonfly[дрЭгэнфлаи]стрекоза =дракон-муха
foam[фоум][фэум]|мыло,пена|oa=оу, ФОМа неверующий купался в *пене с крокодилами (они его потом съели)|former~фоРмэР *бывший ФОМА в-прошлом(formerly~формэрли) купался с крокодилами в *пене на ФЕРМЕ//foamy[фоуми][фэуми]пенистый/-y прил
focus[фоукэс][фоукис][фэукэс]|сосредоточиться|=сФОКУСироваться/оптический ФОКУС *концентрирует свет в линз/*фокусировать внимание при ФОКУСе покусе|
fog[фаг][фог]|туман|мистер ФОГ с паспарту и мистер фикс с планом объехали вокруг света за 80 дней через *туман, огонь, воду и медные трубы/ФОКусник вышел из *тумана вынул ножик из кармана, будет резать будет бить../уФОлоГ ФОтКал в *тумане *туманное будущее и нло| foggy[фаги][фоги]туманный/*-y прил
foil[фоил]|расстраивать,разрушать/2,фольга|*ФОЛьга % для *контраста и *фона|fail~фейл *потерпеть-неудачу *не-иметь-успеха и *расстроиться
fold[фоулд][фэулд]|сворачивать,складывать|*завернуть и (unfold~анфоулд развернуть) ФОЛьгу на шоколаДке (представить звук, блеск и запах)/*складывать по ФОрмУЛе Дроби в банку/ФОма на УЛице *сворачивал надувного крокоДила/*сложить из ФОЛьги Домик для уточки| folder[фоулдэр][фэулдэ]папка/в *папку *складывают документы и мамку/file~файл *папка простоФИЛЯ с ФАЙЛами пришёл к мамке ДУРочке/-er исполнитель сворачивания
fond-of[фанд-эв][фондов]|любящий,люблю|+тратить ФОНД мира на войну|
fool[фу:л]|дурак,дурачить|сытый(full~фул) был полный(full~ФУЛ) *дурак и низко пал(fall~фол) ниже плинтуса/*дурачка отФУтбоЛили *одурачили и замотали по конторам и он всё проФУкаЛ|foolish[фу:лиш]глупый,дурашливый ФУтболист ЛИШний на поле, кэш отсюда// fool-around[фул-эр'аунд][фу:лэ'раунд]дурачиться,придуриваться,баловаться =дурак+вокруг// kid-around[кидэ'раунд]развлекаться,баловаться и КИнуть *Дураков вокруг
footing[футиН]|опора,основа|=нога(ступа) + ing-процесс/у избы на курьих *ножках(foot~фут) *опора это *ноги(foot~фут)|
footprint[фут,принт]|след|=нога + печать/нога отпечатала *след|
for-real[фор-рил][фо:риэл]|правда,серьёзно|=для + реальный %|
for-sure[фор-шур][фо:шуэ]|конечно,наверняка,точно|+уверенный(sure~шур) китаец ЩУРиться|
forbid[фэР'бид]|запретить,запрещать|(forbade,forbidden)/403/*запретили эту ФОРму оБИДы и на обиженых воду возить/ФОма ОБИДелся на *запрет купаться с крокодилами/психам *запретили из ФОРточки БИДоны с молоком выбрасывать|forget~фоРгет забыть ФОРму взять на физру, ааа// forgive~фоРгив прощать ГИВи за то что дал тебе по башке гирей и хотел убить
forehead[форхед][форид]|лоб|=впереди + голова/в ФОнтане скинХЕД разбил десантнику *лоб|
foreign[фарэн][форэн][форин]|иностранный|(g-немая) *внешний *заграничный *заезжий *нездешний *приезжий/ФАРИНгейт - градусы (у нас по цельсию) *зарубежный + ворота (gate~гейт затвор клапан шлагбаум вентиль заслонка задвижка)/на урок *иностранного языка пришел в ФОРме ИНагент, -прячьтесь под партами!| foreigner[фарнэр][форэнэр][форнэр][форинэ]иностранец с ФОнаРем под глазом/+er сущ
forgive[фэР'гив][фор'гив]|простить|= для + дать/*прости мертвецоВ за ОРГИю В морге/ *прости ГИВи за то что дал(give~гив) тебе гирей по башке и ты забыл(forget~фоРгет) свое имя и потерялся/ФОРма носа ГИВи не *прощает ошибки молодости (совал куда ненадо)| forgiveness[фэр'гивнэс][фор'гивнэс][фэ'гивнис]прощение/-ness сущ состояние
fork[фоРк]|вилка,развилка,раздваиваться|у *вилки четыре(ФОР) зуба!/ФОКус с *вилкой - всё что накалываете на неё - исчезает во рту/ФОРК биткоина это разделение на два вида, как *развилка/ФОКусник одну *вилку сломал, другую потерял, придется есть пельмени поварежкой/ у *вилки кривая ФОРма специально для Кривых рук|folk~фоук *народ поёт ФОЛьКлерные песни
former[фоРмэР][фо:мэ]|бывший/2,первый(из-названных)|не фермер! не форма!/*бывший трансФОРМЕР в ФОРМЕ машины возил тебя (кино)/*бывший ФЕРМЕР ФОМА катался в-прошлом(formerly~формэрли) на надувном крокодиле пока он его не съел/*бывший муж любил наряжаться в школьную ФОРМУ и пРогуливать школу/ФОнаРь под глазом у *бывшего МЭРа города, его поймали на взятке|formerly[фоРмэРли]раньше,прежде =бывшо/-ly нареч
forth[фоРС]|дальше,вперёд|~ФОРСировать реку = продвигаться *дальше,*вперед|force~фоРс/ чтобы ФОРСировать реку *дальше нужны *силы// forthcoming[форС'кэмиН][фо:С'кАмиН]предстоящий =дальшеприходящий/
frail[фреил]|хрупкий,хилый|*крупкая ФРЕЙЛина с *корзиной заблудилась в лесу с волками..|
frank[фрЭНк]|откровенный|во ФРАНции(france) живут *искренние ФРАНцузы/*откровенный ФРАНцуз дал тебе пару ФРАНКов и рассказал такоое, что уши повяли/ФРЭНК был *искренний когда спал, однажды он вызвал тебя на *откровенный разговор, лучше горькая правда, чем сладкая ложь - ты не тот кем все тебя считают..|frankness[фрЭНкнэс]откровенность/-ness сущ
