#Xing*2025 /3234(1700)родственных слов-В1/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова имеют родственные в русском, можно запомнить по ФА, но не всё и не всем)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abide [э'баид]|соблюдать,смириться,выносить|обиделся / abide эбайд абиде / не смог *вынести что на обиженных воду возят и АБИДЕлся|
 shut-out [шэт-аут][шАтаут]|заткнись,не-впускать|закрыть+снаружи|
 shut-in [шэт-ин][ин][шАтин]|закройся,не-выпускать||
 shut-up [шэт-эп][шАтАп]|замолчи,заткнуться|закрыть-рот|
shy [шаи]|застенчивый|съел шайбу / ШАИНский был *стеснительный(shy шай) и *сиял(shine шайн) от успеха / shy шаи ши / она(ши) гладила лиШАЙную кошку, подцепила лиШАЙ и *стеснялась ходить в школу / ШАЙка *пугливых бандитов ограбила ШАЙтана (=дьявол) и *испугалась что их утащат в ад / *застенчивый вратарь съел втихаря ШАЙбу пока никто не видел, чтобы гол не засчитали|
 shyness [шаинэс]|застенчивость,робость||
sick [сик]|больной,плохо-чувствующий|искал где посикать в кровать / seek сиик сеек / бешеный больной(sick-сик) пёСИК *ищёт кого бы укусить, и тут ты идёшь.. / больной(сик) *искал где поСИКать в кровать (look for - искать) / sick сик сицк / у *больного горячий ноСИК *недомогание *тошнит и *приболел (seek сик искать градусник)|
sideline [саид,лаин]|боковая-линия,что-то-вторичное|сторона+линия|
 sidewalk [саид,Вок][саидВо:к]|тротуар|сторона+гулять|
 sideways [саид,Веиз]|вбок|сторона+пути|
sight [саит]|взгляд,вид,поле-зрения / 2,достопримечательность|на сайте / sight сайт сиГХТ / на крутом САЙТе смотрел *зрелище и *достопримечательности, вау / *зрение *взгляд (site сайт участок местоположение) / site саит сите / *САЙТ *местонахождение *местоположение (sight сайт зрение взгляд)|
 sightseeing [саит'сииН][саит,си:иН]|осмотр-достопримечательностей||
sign [саин]|знак,знак / 2,подпись,подписывать|сигнал / sign сайн сигн / СИГНалом подал *знак - атас, шухер, тикайте хлопцы / СИГНатура это *подпись *подписывать (signature сигничэр подпись) / диЗАЙНер рисует стильный *знак *символ для логотипа фирмы за бешеные бабки (signify сигнифай значить)|
 signature [сигнэчэр][сигничэ]|подпись|сигнатура / sign сайн сигн / СИГНалом подал *знак - атас, шухер, тикайте хлопцы / СИГНатура это *подпись *подписывать (signature сигничэр подпись) / диЗАЙНер рисует стильный *знак *символ для логотипа фирмы за бешеные бабки (signify сигнифай значить)|
 sign-up [саин-эп][саинАп]|записаться,зарегистрироваться||
 sign-in [саинин]|войти,войти-в-систему||
 significant [сэг'нификэнт][сиг'нификэнт]|значительный||
 significance [сэг'нификэнс][сиг'нификэнс]|значение||
 insignificant [инсиг'нйификэнт][инсиг'нификэнт]|незначительный||
 signify [сигнэ,фаи][сигнифаи]|обозначать,означать|sign сайн сигн / СИГНалом подал *знак - атас, шухер, тикайте хлопцы / СИГНатура это *подпись *подписывать (signature сигничэр подпись) / диЗАЙНер рисует стильный *знак *символ для логотипа фирмы за бешеные бабки (signify сигнифай значить)|
 signification [сигнифи'кеишэн]|значение||
silent [саилэнт]|тихий,молчаливый|силантий на золотой речке / СИЛАНТий *молчаливый делал все *молча на золотой речке (silent саилэнт)|
 silence [саилэнс]|тишина||
sill [сил]|подоконник,порог|носил гири через ночью катать / sill сил / СИЛач заноСИЛ через *порог вещи (window-sill подоконник это *порог у окна)(seal сил тюлень печать)|
 windowsill [Виндэусил]|подоконник||
silly [сили]|глупый|силы есть ума не надо / силиконовые / silly сили / у *глупого СИЛЫ есть, ума не надо, *тупой как валенок / попроСИЛИ *дурака богу молиться он и лоб расшибёт|
similar [симэлэр][симилэ]|похожий|на симулянта / similar симэлэр симилар / *подобный *похожий на реальность СИМУЛЯтор (simulate симбюлейт моделировать имитировать)|
 similarity [симэ'лерэти][сими'лЭрити]|сходство||
simple [симпэл][симпл]|простой,обычный|сампл образец / simple симпэл симпле / *простой образец(sample сампэл) САМ ПОЛомал и *честно признался (честность украшает человека с кривыми руками из ж)|
 simplicity [сим'плисэти][сим'плисити]|простота||
 simplify [симплэ,фаи][симплифаи]|упрощать||
 simplification [симплэфи'кеишэн][симплифи'кеишэн]|упрощение||
sin [син]|грех,грешить|в синагоге с гогой / sin син / *грех *грешить в СИНагоге с гогой / с-тех-пор(синс) как СИНус *согрешил с коСИНусом, все ходят веселые|
 sinner [синэр][синэ]|грешник||
single [сиНгэл][сиНгл]|одинокий,один,отдельный,единый|сингл / single сингэл сингле / *неженатые певцы выпускают СИНГЛы для психов *одиночек (alone элоун одинокий единственный)|
singular [сиНгьэлэр][сиНгьюлэ]|единственное-число,единственный,особый|сингулярность? / singular сиНгьюлэр сингулар / *единственный *необыкновенный путь в СИНГУЛЯРность|
sink [сиНк]|тонуть,топить / 2,раковина|(sank, sunk) / корабль с инками / ink инк / *чернила изобрели ИНКи и утонули в раковине(sink синк) / sink сиНк / кораблик С ИНКами *утонул в *раковине (инк-чернила синие) / think СиНк ТХинк / СФИНКс *думал о пирамидах рядом, а зачем они тут стоят? (sink сиНк раковина тонуть, индюк много *думал и в супе *утонул)|
sit-around [сит-эр'аун][эр'аунд][ситэ'раунд]|сидеть-без-дела,просто-сидеть||
sit-back [сит-бЭк][ситбЭк]|сидеть-сложа-руки,отсидеться|назад|
sit-out [сит-аут][ситаут]|отсидеться,высидеть|вне|
sit-through [ситСфру:]|сидеть-до-конца,высидеть-до-конца|сквозь|
site [саит]|сайт,местоположение|сайт,  sight-вид / sight сайт сиГХТ / на крутом САЙТе смотрел *зрелище и *достопримечательности, вау / *зрение *взгляд (site сайт участок местоположение) / site саит сите / *САЙТ *местонахождение *местоположение (sight сайт зрение взгляд)|
sketch [скеч]|набросок,эскиз|скотчем приклеины на стенку - мадам оформитель рисует / sketch скеч скетч / СКОТЧем приклеили к стене *наброски *эскизы на выставке - лучшая каляка маляка|
 sketchy [скечи]|отрывочный,схематичный||
 sketchbook [скеч,бук]|альбом-для-рисования||
skirt [скэрт][скэ:т]|юбка|скёт баба в * / skirt скэРт скирт / *юбка (shirt шёрт *рубашка) / СКЁТ тесто баба в *юбке / на *окраинах шотландские пастухи в *юбках пасут СКОТ / в шкафу СКЕлЕТ в *юбке болтал по телефону всю ночь!|
skull [скэл][скАл]|череп|скелета / skull скал скулл / с *черепа сняли СКАЛьп / зловещий оСКАЛ *черепа на пиратском флаге|
slap [слЭп]|шлепок,шлёпать,пощечина|с=ш % / slap слэп слап / (замена с-ш-х) *ШЛЕПок *ХЛОПать (похоже)|
slave [слеив]|раб|славяне / СЛАВА пашет как *раб на галере (slave слейв) / slave слейв славе / СЛАВяне были *рабами у фараонов и строили пирамиды, потом сбежали|
 slaver [слеивэ]|работорговец||
 slavery [слеивэри]|рабство||
 enslave [ен'слеив][ин'слеив]|поработить,порабощать||
slay [слеи]|убить,умертвить|(slew, slain) / слей-воду, замочи-цветок / slay слей слаи / СЛЕЙ воду, *замочи цветок (*умертви *убей) / ты катался с гор в бобСЛЕЙ и *убился об дерево / sly слаи сли / ты прибил(slay слей) *коварную *ловкую *хитрую муху(fly) которая тебя достала|
sleep-around [слип-эр'аун][эр'аунд][сли:пэ'раунд]|спать-без-дела,тртр,блудить||
 fuck-around [фАкэ'раунд]|трахаться,блудовать||
sleeve [сли:в]|рукав|слив воды по рукаву / sleeve слив слееве / СЛИВ воды по *рукаву / *рукав для отвода воды похож на СЛИВ воды / царевна махнула рукой и из *рукава выкатились СЛИВы персики и арбузы|
slice [слаис]|кусочек,ломтик,нарезать|слазь таракан съем / slice слаис слисе / СЛАЗь таракан с *куска колбасы а то съем / сидит ворона с *ломтиком сыра и лиса кричит СЛАЗь СЛАЗь с ёлки / *тонкий-слой *часть *доля *нарезать|
slum [слэм][слАм]|трущобы|сломаные дома / slum слам слум / *трущобы это СЛАМаные дома / СЛОМали тебе в *трущобах кости за то что говорил на непонятном языке, учи английский - его везде знают|
slump [слэмп][слАмп]|спад,сваливаться|с лампы / slump сламп слумп / С ЛАМПы на тебя *резко-свалился сверчок похожий на летающего таракана, чуть инфаркт не случился / в СЛАлоМе *резко-падают и *тяжело-опускаются|
slut [слэт][слАт]|шлюха|слать в салон красоты / slut слат слут / *неряшливую-женщину нужно СЛАТь в салон красоты / СЛАТкая *потаскушка ела СаЛАТ вместе с кошкой из одной тарелки на *грязном полу с тараканами, какой кошмар|
sly [слаи]|хитрый,лукавый,коварный|муха флай / sly слаи сли / ты прибил(slay слей) *коварную *ловкую *хитрую муху(fly) которая тебя достала|
smell [смел]|запах,пахнуть,нюхать|смело в противогазе / smell смел / СМЕЛо *нюхать всё подряд в противогазе|
smirk [смэрк][смэ:к]|ухмыляться,ухмылка|исчезла по команде смирно / smirk смэРк смирк / СМЕРКалось и *ухмылка на его лице исчезла по команде СМИРно / СМЭК=смех|
smooth [сму:З]|гладкий|с мусором ходил / smooth смуЗ смооТХ / СМУЗи - напиток *однородный *мягкий *приятный / С МУСором в мешке гулял по *гладкой помойке мимо *спокойных крыс людоедов|
 smoothness [сму:Знэс]|гладкость,плавность||
smother [смэЗэр][смАЗэ]|душить,задушить|свирепая мазер / smother смэзэр / Свирепая MOTHER хотела *задушить тебя ещё в колыбельке, но ты догадался и сбежал прямо в коляске с любимой погремушкой|
snag [снЭг]|коряга,загвоздка|торчит из снега / snag снэг снаг / слепили из СНЕГа СНЕГовика, руки - две *коряги нос - *сучок, а морковку съели / snug снаг снуг / С НАГлой рожей *удобней наглеть, наглость второе счастье (snag снэг коряга пенек сучок)|
snail [снеил]|улитка|ты с ней лазил по дну искал зол ключик|
snake [снеик]|змея|укусила и сник / snake снеик снаке / *змея подколодная укусила ябеду(sneak сник) и он СНИК|
sneak [сни:к]|красться|в кросовках за сникерсом / snake снеик снаке / *змея подколодная укусила ябеду(sneak сник) и он СНИК / sneak сник / мяСНИК *крался за вором в кросовках и СНИКерсом, но он *ускользнул|
 sneaky [сни:ки]|подлый||
 sneak-away [сни:кэ'Веи]|улизнуть,выскользнуть||
 sneakers [сникэрз][сни:кэз]|кеды,кроссовки|сникерсы / СНИКЕРС спрятал в *кросовки (sneakers сникэрз) / nut нат нут / батончик НАТс с *орехами съел и порядок, а сникерс(sneakers) это кроссовки, как такое есть можно? / *псих НАТряс *орехи и с дуба рухнул / sneakers сникэрз / *ускальзыватели в *кроссовках *ускользнули от мяСНИКа с топором и съели СНИКЕРС|
sneeze [сни:з]|чихать|и снизилась температура до 0 это ковид ползи / sneeze сниз снеезе / ты *чихнул и СНИЗилась температура, это ковид, последняя стадия, мест в больнице больше нет, так что ползи сразу к кладбищу!|
sniff [сниф]|нюхать,сопеть|снифер вынюхивает пароли / sniff сниф / СНИФер это нюхач, *обнюхивает сеть и трафик и *фыркает если нашел пароли|
so-called [соу-колд][сэу'ко:лд]|так-называемый|%|
soak [соук][сэук]|впитывать,мочить,пропитывать|сок / soak соук соак / *всасывать СОК / *замачивание *впитывание|
soap [соуп][сэуп]|мыло|сопел когда мылся|
 soapy [соупи][сэупи]|мыльный||
soften [сафэн][софэн][софн]|смягчать|софт-мягкий|
 harden [хардэн][ха:дн]|затвердевать,затвердеть|хард-твердый|
soil [соил]|земля,почва|солил,  душа подошва / soil соил / СОлИЛ *почву СОЛью чтобы росло лучше (soul соул душа)(sole соул подошва)|
sole [соул][сэул]|единственный / 2,подошва|душа в пятки / soil соил / СОлИЛ *почву СОЛью чтобы росло лучше (soul соул душа)(sole соул подошва) / sole соул соле / СОЛЕ посыпь лёд на дороге чтобы *подошва не скользила (соул-душа в пятки)|
solemn [салэм][солэм]|торжественный,серьёзный|с хлебом солем / solemn солэм солемн / *важный *торжественный приём с хлебо и СОЛЕМ|
 solemnity [сэ'лемнэти][сэ'лемнити]|торжественность||
solid [салэд][солид]|твердый,сплошной / 2,твёрдый,крепкий|солидный / solid солид / *сплошной *твёрдый *крепкий и СОЛИДный мужик|
 solidify [сэ'лидэ,фаи][сэ'лидифаи]|затвердевать||
 solidity [сэ'лидэти][сэ'лидити]|прочность,твёрдость,основательность|солидарность|
solve [салв][солв]|решать,решить|сальвадор / САЛЬВадор дали *решил уехать в далекие дали (solve солв решать) / в САЛЬВадоре *решили СОЛью дороги посыпать от льда (solve солв *решать) / resolve ризолв ресолве / *намерение *решение = пеРЕ + (solve решать разрешать) / solve солв солве / чигивара *решил в СОЛьВадоре сделать революцию|
 unsolved [эн'салвд][Ан'солвд]|нерешенный||
someday [сэм,деи][сАм,деи]|когда-нибудь|некоторый день / someday самдеи / *когда-нибудь = некоторый день|
soon [су:н]|скоро,рано|полон сундук женихов / soon сун соон / СУНдук невесты полон женихов - *скоро свадьба / если СУНешь палец куда не надо, то *скоро откусят руку|
sore [сор][со:]|больной,рана|ссора / sore сор / *болезненный после ССОРы выносит СОР из избы / *рана *язва (soar сор парить)|
sorrow [сароу][сорэу]|печаль,горе,скорбь|ссора / sorrow сороу сорров / ССОРА привела к *горю *печали *скорби *грусти|
 sorrowful [сароуфэл][сорэфул]|печальный,скорбный||
 sorry [сари][сори]|извини,сожалеющий|excuse икскьюз екскусе / принес УКСУС вместо воды и *извинился, но все уже отравились.. (sorry сори сожалеть) / sorry сори / после ССОРЫ все *огорченные *жалкие *несчастные *грустные / наСОРИл и *извинился|
sound [саунд]|звук,здоровый|сауна, звук саундтрек / САУНДтрек - *звук(sound саунд) *дорожка(track трек) = звуковая дорожка / sound саунд соунд / САУНа Делает тело *здоровым под *звуки САУНДтрека|
sour [сауэр][саур][сауэ]|кислый|рожа у саурона / САУРон с *кислой рожей смотрел на потоп его завода (sour сауэр, сауэ прокисший угрюмый) / sour сауэР соур / СОУс *кислый / САУРон с *кислой рожей смотрел на потоп его завода|
source [сорс][со:с]|источник|ресурсы, сорцы / source соРс соурце / *источник реСУРСов / СОРЦы это *исходники кода (сленг)|
south [сауС]|юг,южный|соус / south саус соуТХ / на *юге жил СтрАУС / САУС парк = южный парк - мульт прикольный|
 southern [сэЗэрн][сАЗэн]|южный||
 southerner [сэЗэрнэр][сАЗэнэ]|южанин||
 southward [сауСВэрд][сауСВэд]|на-юг||
space [спеис]|космос,пространство|спасите напал чужой / space спейс спасе / СПАСитЕ! в *космосе на корабль напал чужой и всех съел! (спайс-специи)|
 spacecraft [спеис,крЭфт][спеискра:фт]|космический-корабль||
 spaceship [спеис,шип]|космический-корабль||
 spaceman [спеисмЭн]|космонавт||
 spacious [спеишэс]|просторный||
 spatial [спеишэл]|пространственный|*|
spade [спеид]|лопата|спадала земля / spade спейд спаде / с *лопаты СПАДала земля (scoop лопатка совок вскопать)(шавл-лопата)|
spear [спир][спиэ]|копье|бритни спирс / бритни СПИРС с *копьём бегает по пирсу на рыб охотится (spear спир) / шекСПИР кинул *копье в ромео и джульету (spear спир) / spear спир спеар / бритни СПИРс метала *копья в шекСПИРа|
speed-up [спид-эп][спи:дАп]|ускориться|вверх / speed спид спеед / *скорость покажет СПИДометр (speed-up спидэп ускоряйся)|
splash [сплЭш]|брызги,всплеск|сплошные / splash сплэш сплаш / СПЛОШные *брызги и *всплеск (slash слэш разрез прорезь хлестали *брызги)|
splendid [сплендид]|великолепный,блестящий|с плена дед / splendid сплендид / С ПЛЕНа ДЕД (агент 007) сбежал на *замечательном самолете с *роскошным сундуком сокровищ (кино)|
split [сплит]|расколоть,расколоться,распасться|(split, split) / старая плита / split сплит / на потолке Старая ПЛИТа *раскололась и там *трещина / СПЛИТ система у кондиц|
 split-up [сплит-эп][сплитАп]|расстаться,разделиться||
spouse [спаус][спауз]|супруг,супруга|с паузами / spouse спаус споусе / *супруг *супругу С ПАУЗами целовал всю ночь|
spread [спред]|распространение,распространять|(spread, spread) / с предателем листовки / spread спред спреад / ты С ПРЕДателем *распространял листовки - сдавайтесь по хорошему|
spring [сприН][спэр'иН]|весна,источник,проистекать / 2,прыгать|(sprang, sprung) / весна спринтер / spring сприН / *весной СПРИНтеры *прыгают по ручьям за корабликами / *прыжок *скачок *пружина *прыгать *вскакивать / природа *бьёт-ключом и *берёт-начало *весной|
spur [спэр][спэ:]|стимулировать,шпора,побуждать|с=ш % / spur спёР спур / (замена с-ш) *ШПОРа *вершина *уступ *приШПОРивать *побуждать *мчаться|
spy(on) [спаи]|шпион-(вкл.),шпион,шпионить|с=ш % спаивал тебя - тайну 3й планеты|
 espionage [еспиэнадж][еспиэ'на:ж]|шпионаж|%|
squirrel [скВэрэл][скВирэл]|белка|в скворечнике ссорилась со скворцами / squirrel скВэрэл / *белки жили в СКВОРЕчнике Летом, а зимой в дупле|
squirt [скВэрт][скВэ:т]|сквирт,тонкая-струя|сквирт / squirt скВэрт сквирт / *СКВИРТ *бил-струей / *шприц *спринцовка *пускать-струю|
stack [стЭк]|стопка,куча,складывать|данные в стек / stack стэк стацк / *СТОГ *груда *куча *множество *складывать-в-СТОГ|
staff [стЭф][ста:ф]|персонал|на пол стафки / staff стаф / *персонал работал на пол СТАВки / СТАФка главкома в секретном *штабе (stuff стаф хлам) / stuff стаф стуфф / персонал(staff стаф) *вещи *материалы *хлам *засовывал на склад / *материал *вещество для *пломбирвки-зуба|
stage [стеидж]|этап,стадия,ступень / 2,сцена|% стажеры на / stage стейдж стаге / *СТАДия *этап / на *сцене СТАЖеры *ставили пьесу|
 offstage [оф'стеидж]|за-кулисами,закулисный||
 backstage [бЭк'стеидж]|за-кулисами,закулисный||
stagger [стЭгэр][стЭгэ]|шататься,колебаться|стоги по полю, на сцене / stagger стэгэР / СТОГА *шатались по полю, там кто-то пРятался (кино)|
 staggering [стЭгэр,иН]|ошеломляющий||
stain [стеин]|пятно,окрашиваться,пачкать|на стене / stain стеин стаин / *пятно из кишков на СТЕНке от мухи осталось / *позор *запятнать репу|
 stainless [стеинлэс][стеинлис]|незапятнанный,нержавеющий||
stairs [стерз][стеэз]|ступеньки,лестница|стерлись / stair стер стаир / СТАРая *лесница вела в мрачное подземелье, *ступеньки уже СТЕРлись (stairs стерз лестница = ступеньки)|
 staircase [стер,кеис][стеэкеис]|лестница||
 stairway [стер,Веи][стеэВеи]|лестница||
stark [старк][ста:к]|резкий,чёткий,жёсткий,острый|фирма старк жел.чел / stark старк / *абсолютная *полная *совершенная фирма СТАРК у железного человека / *окоченевший СТАРиК голодает(starve старв)|
startle [стартэл][ста:тл]|испугать,испугать(неожиданностью)|на старте / startle стартэл стартле / на СТАРТЕ Льва бегущего за ними все *испугались и от *страха наделали в штаны, но он их всё равно догнал и съел вместе со штанами|
 startling [стартлиН][ста:тлиН]|поразительный||
starve [старв][ста:в]|голодать|старики / stark старк / *абсолютная *полная *совершенная фирма СТАРК у железного человека / *окоченевший СТАРиК голодает(starve старв) / starve старв старве / СТАРики *умирают-с-голоду, пенсия маленькая а еда дорожает каждый день|
 starvation [стар'веишэн][ста:'веишэн]|голодание||
stash [стЭш]|тайник,заначка,прятать|стащил и * / stash стэш сташ / СТАЩил и *спрятал в *тайник|
steep [сти:п]|отвесный,крутой|стипендия / steep стип стееп / ты шёл по СТЕПи и вдруг упал с *крутого *обрыва в пропасть / СТИПендия очень *крутая у отличников|
stew [сту][стью:]|тушить,рагу|стушить / stew сту стев / СТЮардесса *СТУшила мясо для голодных СТУдентов *изнемогающих-от-жары|
still [стил]|все-еще,спокойный,неподвижный|настил стальной украли / steel стил стеел / (замена и-а) *СТАЛь *СТАЛьной (still стил всё-ещё до-сих-пор)(steal стил стащить) / still стил / СТИЛь маньяка *все-ещё тот же, бритвой по горло и в колодец / *бесшумный *тихий *спокойный вор украл(steal стил) *неподвижный СТАЛьной наСТИЛ у тебя / *пока этот СТИЛь в моде - мы ещё живы|
 standstill [стЭнд,стил]|застой,остановка||
sting [стиН]|жалить,жало|(stung, stung) / певец,  стингер / СТИНг своим *жалом *жалит зрителей / СТИНГер ракета с *жалом (sting стиН) / stink стиНк / *воняет от трупа которого укусили ядовитым жалом(sting стиНг)|
 stink [стиНк]|вонять|(stank, stunk) / ужалили умер и * / stink стиНк / *воняет от трупа которого укусили ядовитым жалом(sting стиНг)|
stir [стэр][стэ:]|помешивать,шевелиться,двигать|стирка и=ё / stir стёР стир / *перемешивать *шевелить *двигать *перемешать бельё при СТИРке|
 stir-up [стэр-эп][стэ:рАп]|вызвать,возбудить||
stitch [стич]|стежка,стежок,сшить,зашить|ч=ж стежок% / stitch стич ститч / *СТЕЖок *шов *шить *сшивать *СТЕГать *вышивать (немного похоже)|
 stitched [стичт]|сшитый,сшитые||
stock [стак][сток]|акции / 2,запас|сток товаров / stalk сток сталк / СТАЛКер *гордо-лез по *стебелю бобов в страну чудес (stock сток склад) / stock сток стоцк / на *склад СТЕКается СТОК *запасов и разного хлама, уже складывать некуда / *опора эСТАКады / *запас *сырья нашли рыбы в СТОКе реки|
 stock-exchange [стокикс'чеиндж]|фондовая-биржа||
 stocking [стакиН][стокиН]|чулок|для запасов сто шт лука / stocking стокиН / СТО луковин КИНул в *чулок на зиму про запас(сток)|
 stock-up-on [стак-эп-он][стокАпон]|запастись||
 store-up-on [сто:рАпон]|запасаться,запастись||
stomach [стэмэк][стАмэк]|желудок,живот|сто макарон из ушей / stomach стамэк стомач / СТО МАКарон влазит в *желудок, остальные назад лезут из ушей|
stout [стаут]|толстый,плотный,крепкий|статный / stout стаут стоут / *толстый *плотный *крепкий и СТАТный статский советник|
stove [стоув][стэув]|печь,плита|ставить на * / oven авн овен / Около *печки ВЕНик, а на *печке ОВЕН гороскопы читает / ОВЕНа запихали в *духовку вместе с козерогом (stove стоув печь) / stove стоув стове / СТАВИм на *кухонную-плиту / СТО ВЕников сожгли *печи (oven печь) ведьмы (а кочегар stoker стоукер СТО УКазок сжёг вместе со школой)|
straight [стреит]|прямой,прямо|стрит-улица gh-глухие / straight стрейт страиГХТ / СТРОИТель ходит *прямо только когда трезвый / СТРОЯТ СТРЕЙТ стрит = *прямая улица (для гонок по ночам стрит трейсеров)|
 straighten [стреитэн][стреитн]|выпрямить,выпрямлять||
 straightforward [стреит'форВэрд][стреит'фо:Вэд]|простой,прямой,откровенный||
strain [стреин]|напрягать,напряжение|струна / strain стрейн страин / *напрягать *напряжение СТРУНы / СТРОЙНая и *подтянутая красавица|
strap [стрЭп]|ремень|стропы / strap стрэп страп / СТРОПы парашута это *ремень *ремешок *завязка (rope веревка)|
straw [стро:]|солома|строить из шалаш, стройная как * / straw стро страв / СТРОйная как *соломинка / СТРАУс свил гнездо из *соломы|
 strawberry [стро,бери][стро:бэри]|клубника|солома+ягода / strawberry стробери / СТРОго БЕРИ *клубнику в лесу / солома + ягода|
stray [стреи]|бродить,бродячий|по стройке / stray стреи / *бездомный СТРАнник СТРОИл дом в лесу и *заблудился|
streak [стри:к]|полоса,след,струя|стриг полосы окна клеить стрип-полоса / streak стрик стреак / ты СТРИГ *неровные-полоски окна заклеивать на зиму / *жилка *мелькать|
strength [стреНкС][стреНС]|сила,мощность,прочность|в плавках и стрингах сказал сталевар на пляже / strength стреНкС стренГТХ / СТРЕмительНая *Сила / наша *сила в плавках сказал сталевар на пляже в СТРИНГах|
 strengthen [стреНСэн]|укреплять||
stress [стрес]|стресс,подчеркнуть,заострить-внимание|стресс? / stress стрес / *СТРЕСС *напряжение *давление *нажим *напор *ударение (press давить нажимать)|
stretch [стреч]|потягиваться,тянуть,вытягивать|штаны стретчи на люб ж / stretch стреч / с помощью *растягивания СТРЕТЧ-пленки можно упаковать слона / штаны СТРЕЙЧи легко *растягиваются на любую ж|
 stretchy [стречи]|эластичный,тянущийся||
strew [стру:]|посыпать,разбрасывать|(strewn, strewn) / струя брызги / strew стру стрев / СТРУи фонтана *разбрызгивают *разбрасывают воду|
strict [стрикт]|строгий,точный|рестриктнули акк строгие / strict стрикт / СТРИГся давно? *СТРОГо спросили лысого / *определенный *точный *требовательный (restrict ристрикт ограничивать заключать) если акк рестриктнули то суши вёсла, посылать доки бесполезно|
 strictness [стриктнэс]|строгость||
stride [страид]|шагать,шаг|(strode, stridden) / страдая широко-шагал и штаны порвал / stride страид стриде / СТРАДая ты *широко-шагал к *успеху и порвал штаны|
strike [страик]|ударять,бить,удар / 2,забастовка|(struck, struck) / на стройке * / СТРАЙК - *забастовка (strike страйк ударять бить зажигать выбивать поражать столкновение стачка) / strike страйк стрике / голодающие рабочие на СТРОЙКе объявили *забастовку но их всех уволили, за забором очередь / *ударять *бить (stroke строук удар) / stroke строук строке / он любил *гладить СТРОКи в журнале плейбой / *удар (strike-бить)|
 stricken [стрикэн]|пораженный,раненый||
 strike-out [страик-аут]|вычеркнуть,потерпеть-неудачу||
strive [страив]|стремиться,добиваться|(strove, striven) / стравливать врагов / strive страив стриве / *СТРЕмИсь *старайся СТРАВить врагов, а потом их добить|
 strife [страиф]|борьба||
stroke [строук][стрэук]|гладить|строки журнале в плейбой с картинками / strike страйк стрике / голодающие рабочие на СТРОЙКе объявили *забастовку но их всех уволили, за забором очередь / *ударять *бить (stroke строук удар) / stroke строук строке / он любил *гладить СТРОКи в журнале плейбой / *удар (strike-бить)|
stroll [строул][стрэул]|прогулка,прогуливаться|с тролем на плече / stroll строул стролл / мюллер с бешеной Скоростью мчался в ТРОЛейбусе, а рядом шёл штирлиц, делая вид что *прогуливается|
struggle [стрэгэл][стрАгл]|бороться,борьба|страгал дерев солдат дя борьбы с изумр городом / struggle стрэгэл струггле / ты СТРОГАЛ дерявянных солдатов для *битвы *борьбы *войны чтобы *бороться *биться за изумрудный город, ещё волшебный порошок надо стырить у ведьм|
stubborn [стэбэрн][стАбэн]|упрямый|как стадо баранов / stubborn стэбэРн стубборн / рубль очень *упрямый - СТАБильНо растет вниз, пробил второе дно, но снизу постучали / *упрямое СТАдо БАРаНов смотрит на новые ворота|
 stubbornness [стэбэрнэс][стэбэрннэс][стАбэннис]|упрямство||
stud [стэд][стАд]|шпилька|студень подложил * преподу / student стьюдэнт студент / *СТУДЕНТ но звучит СТЬЮДЭНТ (stud кнопку на стул подложил студень преподу, а он его завалил потом на экзамене)|
stuff [стэф][стАф]|вещи,всякая-фигня|персонал таскал на пол стафки в ставку главкома / staff стаф / *персонал работал на пол СТАВки / СТАФка главкома в секретном *штабе (stuff стаф хлам) / stuff стаф стуфф / персонал(staff стаф) *вещи *материалы *хлам *засовывал на склад / *материал *вещество для *пломбирвки-зуба|
 stuffy [стэфи][стАфи]|душно,душный|всякая-фигня *|
stumble [стэмбэл][стАмбл]|спотыкаться,запинаться|в стамбуле, очнулся гипс / в СТАМБУЛе все *спотыкаются на банановой кожуре, чёрт побери! упал очнулся гипс (stumble стамбл) / stumble стамбэл стумбле / в СТАМБУЛе *споткнулся, упал, очнулся гипс, сеня береги руку!|
stupidity [сту'пиди,ти][стью:'пидити]|глупость,тупость|%|
 stupid [ступэд][ступид][стью:пид]|глупый|и тупой / stupid ступид / *бестолковый *глупый ТУПой ТУПИТ / С *ТУПым *ИДиотом каши не сваришь|
subject [сэбджикт][сэб'джект][сАбджикт]|подверженный,подвергать / 2,предмет,тема|субьект? / subject сэбджикт субйект / СУБЪЕКТ *подверженный влиянию врагов *подвергал *предмет *тему опасности, а объект объективно возражал!(object объект предмет вещь возражать)|
subscribe [сэбс'краиб][сэб'скраиб]|подписаться,подписываться|дискрайб-описывать краба|
 unsubscribe [энсэбс'краиб][Ансэб'скраиб]|отказаться-от-подписки,отписаться||
 subscriber [сэбс'краибэр][сэб'скраибэ]|подписчик||
 subscription [сэбс'крипшэн][сэб'скрипшэн]|подписка||
