g_fa=`
## 600 базовых английских слов по ассоциациям (мнемотехника)
#
# Xing*2025/ Это минимальный словарный запас. (уровень примерно A1) Слова отсюда britlex.ru и др + амер.тр + гугл перевод + лучшие ФА из всех источников и мои
# Сайт: en-ru-dict.github.io/ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы)
# Есть словоформы: сущ.(-tion -sion -ty -nce -ment -ness-состояние -ship-корабль -ing-процесс-глагола -er(-or)-исполнитель, тот кто это делает)/ гл. (-fy -en)/ нареч. (-ly)/ прил. (-y -ous -full-полный-чего-то -able-способный -ed-уже-сделанный )/нет(im- in- ir- un- dis- -less-без-этого)
#
# 612 базовых английских слов которые можно запомнить по ассоциациям, они имеют родственные рус слова и произошли от английских или общих латинских, частично похожи по написанию или звучанию, обозначают другое, но на ту же тему и логически связаны! Если воображение плохое, то ищите или рисуйте картинки в Chat GPT. Авторских прав нет, если кто что возьмёт отсюда, то пишите ссылку на этот сайт. Иногда есть повторы. Учить лучше через АнкиДроид + гугл переводчик для озвучки, ФА в переводе на англ это как контекст. В карточках tem-mem старый формат, там ФА из общей кучи, а здесь и в 3700 новые получше. 
# Как учить: Включаем всё актёрское мастерство, представляем сцену где ты главный герой, ногами руками и всем чем можно изображаем это действие, издаём звуки ааа, брр, ох, ой итд, по возможности ярко представить цвета, запахи, тепло-холодно, кисло-сладко, мурашки по коже, смешно-грустно-страшно (Для убедительности можно побегать, попрыгать, полаять, съесть перчик, чеснок, обморозить/обжечь пальчик итд) Прочитать вслух звучание, написание, перевод и ассоциацию, на каждое слово надо примерно 20-60 сек. Сыграть сценку как в театре, чем реалистичней тем лучше запомнится. Если просто сидеть и читать, то ничего не запомнится! Надо всё время двигаться - час учить, 10 мин отдых и снова, и ещё по 20+ мин тренировать воображалку и 7 каналов памяти. Это очень важно для этого способа! 
# В интернете мало качественных ассоциаций. Создать смешную и запоминающуюся историю не так просто как кажется. Нужен талант писателя лингвиста юмориста! Обычная быстро забудется и смешается с остальными обычными. Все кто пишет что ассоциации не помогают, лишняя лабуда и вредно, это как раз про обычные типа *вершина ТОПоля, а необычные оставляют яркий след как анекдот, комедия, триллер или ужастик. После пары часов изучения этим методом, у вас должен быть усталый и счасливый вид, как будто вы провели весь день в парке развлечений и на всём с визгами покатались, потом пошли в зоопарк и всё везде посмотрели, удивились и ахнули, и наконец сами поучаствовали в кровавом боевике, падали в пропасть, переходили брод с крокодилами и за вами гнались зомби и чуть не съели! (и можно это потом рассказать другим, похвастаться и чтобы они тоже посмеялись)
# Также есть ~1000 похожих слов типа банк, музей, балкон, они по написанию копия, но звучат немного по другому, если по правилам, то учить проще, но если исключения то просто запомнить! Ещё ~2000 это словоформы образованные предлогами, суффиксами и окончаниями, они означают примерно тоже, но есть исключения - их учим отдельно, на них ФА к одному главному слову, к остальным необязательно, ещё ~1000 слов выучить через ФА сложно, но можно если потренироваться, ещё к ~1000 слов ФА есть, но запомнить такое нереально, там нескладно и звуки на много слов, ещё к ~1500 слов ФА придумать нельзя, нет похожих слов, их учите по карточкам как обычно или нужна мега ФА, ~800 слов известны со школы почти всем, ФА к ним есть, но лучше вспомнить(учить) через патерны и примеры. С картинками есть приложение для андроид (английский по ассоциациям) и две книги Матюгин и Гарибян, но ФА там похуже, часть ненужные редкие слова, устарело и 18+, есть ещё пара книг без картинок, но там ФА так себе, есть лучше и бесплатно. Если созвучных похожих рус.слов много, то можно придумать свою ФА быстро, а если мало, то надо вспоминать слова и перебирать и устанете! Если их нет, то желание учить вообще пропадёт! А здесь халява, готовые, прикольные и смешные попадаются, но помогает увы не всем, так что пробуйте разные способы и выбирайте какой вам лучше подходит! Жаль картинок пока мало, с ними намного лучше запоминается, их надо всем вместе рисовать и обмениваться, потом бесплатную книгу или учебник сделать. Слова в основном стырили из английского (латинского) по написанию, по звучанию реже, а в русском в основном как пишеца так и читаеца, а в английском наоборот! читается по отдельным правилам, редко есть исключения. И для слова balcony~бэлкэни не надо сочинять про бал и кони и так видно что это балкон, а для топ есть топ-менеджер, а не вершина тополя
#
# %-похоже, %%-немного-похоже ŋ=Н θ=С ð=З w=В æ=Э ʌ=А Р-амер аи=ай
# Все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте или переделайте! Ещё см. 3700 слов.
#
# формат: word [звучание] | перевод | ФА1 / ФА2 | похожие чем-то // ещё похожие
a [э] | артикль =некий | без артикля это глагол наречие или прилагательное |
two [ту:] | два | т=д ТВО=*ДВА % / *две ТУфли | to~ту предлог-частица // too~туу ТОже слишком
three [Сфри] | три | с=т % (звучит ужасно, всем стыдно) | tree~три дерево
four [фоР] | четыре | +ФАРы *для(for~фор) машины (у кого *четыре глаза тот похож на водолаза) / фоРУМ - *четыре + комнаты(room~рум) | far~фаР далеко // fourth[форС]четвертый
five [фаив] | пять | фифти-фифти это 50 на 50, а 5 это ФАЙВ | fifth[фифС][фиС]пятый // fifty[фифти]пятьдесят
six [сикс] | шесть | (sex~секс пол) когда пол- *шестого не до секса | sixth[сиксС]шестой
seven [севэн] | семь | в=м % / *СЕдьмое небо-хЕВЕН | seventy~севэнти семьдесят
eight [еит] | восемь | (h+8=высота, w+8=вес) | eighth[еитС][еиС]восьмой
nine [наин] | девять | НИНЕ 99 лет в обед | none~нан никто ничто
ten [тен] | десять | +негритят загорали(tan~тэн) в ТЕНи вместе с таней (они её потом съели) |
eleven [и'левэн] | одиннадцать | +книг написал пЕЛЕВИН левой рукой, а кто это? |
twelve [тВелв] | двенадцать | т=д *ДВЕнадцать %% |
thirteen [Сёр'тин][Сэ:'ти:н] | 13 | 3+10=ten=teen, тинейджеры 13-19 |
fourteen [фоР'тин][фо:'ти:н] | 14 | 4+10=ten=teen, тинейджеры 13-19 |
fifteen [фиф'ти:н] | 15 | 5+10=ten=teen, тинейджеры 13-19 |
sixteen [сикс'ти:н] | 16 | 6+10=ten=teen, тинейджеры 13-19 |
seventeen [севн'ти:н] | 17 | 7+10=ten=teen, тинейджеры 13-19 |
eighteen [еи'ти:н] | 18 | 8+10=ten=teen, тинейджеры 13-19 |
nineteen [наин'ти:н] | 19 | 9+10=ten=teen, тинейджеры 13-19 |
twenty [тВенти] | двадцать | т=д *ДВАдцать % |
thirty [СёРти] | тридцать | старая дева за *30 уже второго СОРТА и жаждет(thirst~СэРст) замуж |
forty [форти] | сорок | в *сорок подФОРТИло сороке |
hundred [хэндрид][хАндрэд] | сто | +летний дед ХАНДРИТ, столько не живут |
thousand [Сфаузэнд] | тысяча | +рабов на ФАЗЕНДе любят рабыню изауру / *тысяча САУдовцев в САНДалях бегут по песку в пустыне / ты вошел в САУну к САНДи за *штуку в час |
first [фёРст] | первый | +ФЕСТиваль у валь | feast~фист праздник пир // fist~фист кулак
second [секэнд] | второй | СЕКОНД-хенд - *вторые руки(hand~хенд) = обноски / 2) *СЕКУНДа % |
third [СёРд] | третий | +СЕРДитый пришёл - ему второй бомбу под колеса кинул / мы соображали на троих а *третьим был СЕРДитый ты с САРДиной на закуску |
#
just [джАст] | только,просто,точно,справедливый | j=й ЮСТас алексу *только-что передал шифровку из центра / ДЖАСТин *только-что родился и *точно за *справедливость / *беспристрастный *объективный *верный *правильный *как-раз | justice~джастис / j=й ЮСТИЦия обеспечивает *справедливость и *правосудие // justify~джастифаи оправдывать
now [нау] | сейчас | +я НАУчу тебя плохому | k+now~ноу знать наука / к-немая
then [Зен] | тогда,затем | н=м *ЗаТЕМ / когда будет солнце в ЗЕНите, *тогда стрельнем по нему из ЗЕНитки | than~Зэн чем
forward [фоРВеРд][фо:Вэд] | вперёд | в футболе ФОРВАРД бежит *впереди-других, ему больше всех надо! |
well [Вел] | хорошо | *ВЕЛиколепно и *хорошо себя ВЕЛ, возьми с полки пирожок |
only [оунли] | только | +ОН ЛИ это сделал? / *только клОУН ЛИлипут *единственный в цирке уродов |
also [о:лсоу] | также | АЛСУ *тоже пела под фанеру и по блату |
even [ивин][ивэн] | даже | е=и ИВАН сусанин *даже дороги не знал, завёл нас хз куда |
very [вери] | очень | ты вруну *очень ВЕРИл, а зря / *очень не хватает *истинной *настоящей ВЕРЫ в светлое будущее | vary~вери менять варианты
down [даун] | вниз | нокДАУН = удар-толчок(knock~нок) + *вниз упал / локДАУН = замок(lock~лок) + *вниз = никого из дома не выпускают / ДАУНы без мозгов *внизу на соц.леснице / при локДАУНе заперли всех ДАУНов *внизу в подвале без еды, сказали самоизоляция или штраф, через год нашли их скелеты | downer~даунэР зануда // drown~драун *тонуть *вниз // dawn~дон *рассвет ещё солнце *внизу
still [стил] | всё-ещё | СТИЛь маньяка *всё-ещё тот же - бритвой по горло и в колодец / *бесшумный *тихий *спокойный вор украл(steal~стил) *неподвижный СТАЛьной(steel~стил) наСТИЛ у тебя, ах / *пока этот СТИЛь в моде - мы ещё живы! |
never [невэР] | никогда | +никому НЕВЕРь, обманывают на каждом шагу / в НЕВАде *никогда не был вадя | ever~эвэР всегда когда-либо
again [э'геин][э'ген] | снова | +АГЕНт 007 против(against~эгенст) агентства ми6 |
today [ту'деи] | сегодня | +ТУДА без намордников не пускают / = к + день |
tonight [ту'наит] | сегодня-вечером | =к ночи |
tomorrow [тэморэу][ту'ма,роу] | завтра | +мы с ТАМАРОЙ ходим парой |
yesterday [йестеР,деи][йестеРди] | вчера | +ЯСТРЕб злоДЕЯ клюнул / =да+ты+день |
always [ол,Веиз][о:лВэз] | всегда | ОЛе *всегда ВЕЗёт(на алкоголиков) / =все+пути |
enough [и'нАф] | достаточно | И НАФига мне столько? *достаточно! |
often [офэн][офтэн] | часто | О ФЕН *часто сгорает вместе с волосами / *часто в кОФТЕ сплю, холодно / *часто кОФТАН одеваю на сироту(orphan~орфэн) теленка(calf~каф) и гуляю с ним по лесу с волками |
together [тэ'геЗэР] | вместе | ТУристы *вместе едут на ГЕЙЗЕР на живых русалок пялиться(gaze~гейз) / ТУземцы *вместе бегут попить ГАЗИРовки из автомата за 3коп | gather~гэЗэ собирать
already [о:л'реди] | уже | =всё + готово / ОЛя все РЯДЫ в классе *уже подмела и поставила жучки |
maybe [меиби] | может-быть | =можно + быть |
soon [су:н] | скоро | если СУНешь палец, то *скоро откусят руку / СУНдук невесты полон женихов - *скоро свадьба |
forever [фер'евэР] | навсегда | =для + всегда |
#
all [ол] | все | вы *все АЛкогОЛики! |
any [ени] | любой | +у АНИ купит *анин(onion~аньэн) лук / про ЕНИсей *любой скажет(say~сей) что это речка |
anybody [ени,боди] | любой,кто-нибудь | =любой + тело | anyone~ениВАн *любой =любой+оно=чел
anything [ениСиН] | что-угодно,что-либо | =любой + вещь |
each [и:ч] | каждый | +знает что вИЧ это пугалки | which~Вич который // each-other~ичаЗе друг-друга = каждый-другой
every [еври] | каждый | +ЕВРЕй кричит ЭВРИка когда делает открытие века |
everybody [еврибоди] | каждый-чел,все | =каждый + тело |
everything [евриСиН] | всё | =каждый + вещь |
here [хиР][хиэ] | здесь,сюда | (where~Вер,Веэ где? *здесь) | there~Зер,Зеэ там // hear~хир,хиэ слышать // hire~хаир,хаиэ *нанял японца делать ХАракИРи // hare~хер,хеэ заяц // hair~хер,хеэ волосы парикмаХЕР
it [ит] | это | и=э ЭТо % |
itself [ит'селф] | сам-по-себе,сам,себя | (=oneself) / *сам *себе делал СЕЛФи |
he [хи] | он | +постоянно ХИхикает, смешно дураку что уши на боку (his-его him-ему) |
she [ши] | она | +ШИзанутая, он(he~хи) хихикает - два сапога пара (her-её) |
some [сАм] | некоторый,некоторое-количество | +САМцов тараканов бегали за той-же-самой(same~сейм) самкой, хотели её трахнуть(по башке дубиной) |
somebody [сАмбэди] | кто-нибудь | =некоторый + тело | someone~сАмВАн кто-то=некоторый+оно=чел
something [сАмСиН] | что-нибудь,что-то | =некоторый + вещь |
sometimes [сАмтаимз] | иногда | =некоторый + время |
no [ноу] | нет | о=е % / (not~нот не) (none~нан никто ничто никакой) |
nobody [ноубэди] | никто | =нет+тело | no-one~ноуВэн никто
nothing [нАСиН] | ничто,ничего | =нет + вещь |
such [сАч] | такой | ты *такой САЧок когда пилишь СУЧок на котором сидишь |
there [Зер] | там | (here-здесь, where-где) |
they [Зеи] | они | +такие милые ЗАЙки на лужайке / *они завели друЗЕЙ (в лаЗЕЙку) |
this [Зис] | этот | (the~Зэ,Зи *этот),(that~Зэт тот) |
these [Зиз] | эти | (those~Зоуз те) |
I [аи] | я | ай=йа / *я купил АЙфон за лимон, а там впн не поставить и ютьюб не работает, ах |
you [ю] | ты | +смотришь в Ютьюб(YOUtube) а видишь фигу от роскомпозора |
we [Ви] | мы | w-перевернутая м % |
how [хау] | как | НОУхау - знать(know~ноу) *как сделать / *каким-образом? (how-many~хаумэни сколько?) |
when [Вен] | когда | +ВЕНу взяли штурмом, там нашли ВЕНома(venom~венэм яд злоба) / *когда будем колоть в ВЕНу? |
where [ВеР][Веэ] | где | +ВЕРа надежда любовь опять ходят? -в караганде / У мЭРа *куда-то пропал весь город, ах |
what [Вот] | что | ВОТ *что это такое? |
who [ху:] | кто | +тут уХУ ел? / *кто есть ХУ? / who вхо(w убрали т добавили) *хто? дед пыхто и конь в пальто! / это ещё и ВОЗ / звучит не по правилам (w-немая о=у) |
why [Ваи] | почему | +трамВАЙ не летает? покачену! | way~вей путь
which [Вич] | который | +тут ВИЧ больной? выходи, будем делать тебе харакири | each~ич каждый // witch~Вич ведьма колдунья лечит от ВИЧ отравой
other [эЗэР][АЗэ] | другой | это *другое ОЗЕРо с лох-несским чудовищем и лохами |
another [э'нэЗэР][э'нАЗэ] | любой,другой | +это зАНОЗА в заднице |
many [мени] | много | +у бабы МАНИ денег(money~мани) за баней, куры не клюют / *много МАНИ(денег) у мачо(much~мач много) - кроликов разводит(на деньги) |
much [мАч] | много | +у МАЧо баб и денег(мани),(а мэни-много) / МАЧеха *много МУЧила золушку, какой ужас |
few [фью:] | немного,мало | +ВЬЮ венков из полевых цветков для любимой девушки |
away [э'Веи] | прочь | +уходи с моего пути(way~Вей) |
along [э'лоН] | вдоль | (long~лонг длинный) |
behind [би'хаинд] | позади,за | +БИзоном проХИНДей прячется, лови его |
else [елс] | ещё | безобразная ЭЛЬЗа *ещё хочет безобразий / обжора *ещё не наЕЛСЯ |
upon [э'пон] | на | =вверх + на / *после *во-время *по |
about [э'баут] | о | АББАТ ходил *вокруг да *около часовни, искал там где часы |
above [э'бАв] | над,выше,ранее | +просил дОБАВки и надбавки |
after [ЭфтэР] | за,после | +текста АФТОР поставил подпись |
among [э'мАН] | среди | +недовольных на митинге ОМОН проводит задержание, беги оттуда | amongst[э'мэНст]среди МОНСТров ты жил и сам таким стал, с волками жить - по волчьи выть
around [э'раунд] | вокруг | +Этого РАУНДа - зрители *кругом стоят |
at [Эт] | у,на,в | (время на часах) |
before [би'фоР] | до | БИФОкальные линзы видят *перед |
between [бит'Вин] | между | +глаз БИТь ВИНовника |
through [Сфру:] | через | СРУбил просеку *через заколдованный лес и всякая нечисть попёрла / ЗРЮ *насквозь ФРУкта и вижу там червяка / (gh-немые / звук С это смесь с+ф) | throat~Сфроут горло // throw~Сфроу бросать
by [баи] | у,при,через,к | (buy~бай покупать) (bye~бай пока) |
for [фоР] | для | ФОРточка *для воздуха | four~фор четыре // far~фар далеко
from [фром] | из,от | *из Фермы РОМашки для машки |
in [ин] | в | инКУБатор = *в + детёныш(cub~куб) / ИНсайдер = *в + сторона(side~сайд) = был внутри и много знает первым |
into [инту] | в | =в+к / *внутри есть ИНТУиция |
near [ниР][ниэ] | рядом,около | + *НИАгарского водопада ты стоял и упал туда, ааа / НЕАРдертальцы были *близкими родственниками гомосапиенс |
under [эндэР][Андэ] | под | АНДЕграунд = *под + земля(ground~граунд грунт) / АНДЕРсон *под кайфом писал сказки |
with [ВиС][ВиЗ] | с | больной *с ковидом нанес ВИЗит в поликлинику, все разбежались с ВИЗгом и попрятались кто куда.. | within~ВиСин в-пределах
without [Ви'Саут][Ви'Заут] | без | WITH-С чем-то внутри и *без чего-то снаружи OUT-из,вне |
and [Энд] | и | АНДрей купил ЭНДоскоп *и микроскоп |
because [би'коз] | потому-что | =быть причиной / любовь зла *так-что полюБИшь и КОЗла |
against [э'геинст][э'генст] | против | А ГАНСТеры *против АГЕНСТва знакомств воров и жуликов |
but [бэт][бАт] | но | +БАТон вкуснее | bat~бэт летучая-мышь бита
if [иф] | если | (else-иначе, условный оператор) |
not [нот] | не,нет | о=е % | n't[?]нет
or [оР] | или | +ОРи *или затнись |
so [соу] | так | (соу-соу = так-себе) |
as [Эз] | так как,за | *как рАЗ впору |
than [ЗЭн] | чем | +коту ЗАНяться когда делать нечего? | then~Зен ЗаТЕМ
too [ту:] | слишком,очень | +хочет ТУзик грелку / 2) ТОже % | to~ту к // two~ту два
while [Ваил] | пока | +ВАЛИл лес - волки пришли посмотреть / *в-то-время-как |
until [энтил] | до-тех-пор,пока | +не поймаю золотую АНТИЛопу, не успокоюсь (мульт) |
of [эв] | из | (предлог чего-то) |
off [оф] | из,вне,выкл | ОФшоры чтобы уходить *прочь *от налогов / *выкл (on-вкл) |
on [он] | на | ОН *на ней, она на нём, та-ту, а тот-того (*прости-forgive мертвецоФ за ОРГИю В морге) / (off-выкл on-вкл) |
over [оувэР] | над | ОВЕРлок = *через + замок(lock~лок) = швейная машинка для обмётки швов / я постелил кОВЕР *над ямой с крокодилами, а ты туда провалился, ах | cover~кавэр крышка покрывать
to [ту:] | в,к | частица-глагола (=должен have-to + глагол) | two~ту два // too~туу ТОже, слишком // today~тудей сегодня
please [плиз] | пожалуйста | *ПожаЛуЙСта % *получать-удовольствие | pleasant~плезэнт приятно
sorry [сори] | извини,мне-жаль | после ССОРЫ все *огорченные *жалкие *несчастные *грустные / наСОРИл когда жену пилил, *извинился и пошел выносить СОР Из избы | excuse~икскьюз извините
hello [хэ'лоу] | привет | АЛЛО *привет это я | hollow~холоу / я кричал ХАЛОУ в *пустую трубку сломанного телефона и вдруг услышал в ответ *глухой голос - через семь дней ты умрёшь
hi [хаи] | привет | ХАЙ гит это *привет и руку *высоко(high~хай) поднимай |
bye [баи] | пока | =гудбай / баю баюшки баю, засыпай и *покеда | buy~бай покупать // by~бай предлог при
goodbye [гуд'баи] | до-свидания | =хороший + пока |
yes [йес] | да | (=yeah~йЭ) | yesterday~йестэрдей вчера =ДАвно
#
be [би] | быть | %% / I am, (you,we,they) are, (he,she) is =есть/ was(were) был, will(shall) будет | be-able[би-еибэл]быть-в-состоянии // be-afraid[би-э'фреид]бояться фреди крюгера // be-angry[би-ЭНгри]злиться агрессия // be-bored[би-борд]скучать =быть+скучным // be-born[би-борн]родиться =быть+рожденным // be-cold[би-коулд]быть-холодным % // be-hot[би-хат]быть-горячим (хит-нагревать) // be-hungry[би-хэНгри]быть-голодным (хан грибы ел) // be-ill[би-ил]быть-больным (пил таблетки) // be-right[би-раит]быть-правым % // be-sleepy[би-слипи]быть-сонным (слипаются глаза) // be-thirsty[би-Сэрсти]испытывать-жажду замуж за 30 // be-wrong[би-роН]ошибаться если считать воРОН// being[бииН]существование =бытие =бывание / -ing сущ процесс
#
`;
