g_fa=`# список самых важных 2801(8370) английских слов в порядке частоты, их знать обязательно! Перевод от гугл, тр не у всех, ФА смотрите в 3700 и для Anki
1. the [Зэ][Зэ][Зи] | (артикль)-этот
soiled [соилд] | грязный
soiling [??] | загрязнение
soils [соилз] | почвы
2021. smart [смарт] | умный
smarted [смартид] | умилился
smarter [смартэр] | умнее
smartest [смартэст] | самый-умный
smarting [смартиН] | жжение
smarts [смартс] | умы
2022. layer [леиэр] | слой
layered [леиэрд] | слоистый
layering [леиэриН] | наслоение
layers [леиэрз] | слои
2023. upset [эп,сет][эп'сет] | расстроен
upsets [эп,сетс][эп'сетс] | расстраивает
upsetting [эп'сетиН] | расстраивает
2024. tooth [туС] | зуб
teeth [тиС] | зубы
toothed [туЗд][туСт] | зубчатый
2025. representation [репрэзен'теишэн] | представление
representations [репрэзэн'теишэнз] | представления
2026. preparation [препэр'еишэн] | подготовка
preparations [препэр'еишэнз] | препараты
2027. dispute [ди'спьют] | спор
disputed [ди'спьютэд][ди'спьютид] | спорный
disputes [ди'спьютс] | споры
disputing [ди'спьютиН] | спорить
2028. agenda [э'джендэ] | повестка-дня
agendas [э'джендэз] | повестки-дня
2029. emphasis [емфэсэс][емфэсис] | акцент
emphases [емфэ,сиз] | акценты
2030. edition [э'дишэн][и'дишэн] | издание
editions [и'дишэнз] | издания
2031. silver [силвэр] | серебро
silvered [??] | посеребренный
silvers [силвэрз] | серебра
2032. entertainment [енэр'теинмэнт][ентэр'теинмэнт] | развлечения
entertainments [енэр'теинмэнтс][ентэр'теинмэнтс] | развлечения
2033. honest [анэст] | честный
2034. undertake [эндэр,теик] | предпринять
undertaken [эндэр,теикэн] | предпринято
undertakes [эндэр,теикс] | обязуется
undertaking [эндэр,теикиН] | предприятие
undertakings [эндэр,теикиНз] | предприятия
undertook [эндэр'тук] | предпринял
2035. retail [ри,теил] | розничная-торговля
retailed [ри,теилд] | продается-в-розницу
retailing [ри,теилиН] | розничная-торговля
retails [ри,теилз] | розничная-торговля
2036. wire [Ваиэр][Ваир] | провод
wired [Ваиэрд][Ваирд] | проводной
wires [Ваиэрз][Ваирз] | провода
wiring [ВаириН] | проводка
2037. unlikely [эн'лаикли] | маловероятно
unlikelier [??] | маловероятнее
unlikeliest [??] | самый-маловероятный
2038. gay [геи] | гей
gayer [геиэр] | гейер
gayest [??] | самый-гейский
gays [геиз] | геи
2039. publication [пэбли'кеишэн] | публикация
publications [пэбли'кеишэнз] | публикации
2040. slight [слаит] | небольшой
slighted [слаитид] | пренебрег
slighter [??] | слабее
slightest [слаитэст] | малейший
slighting [слаитиН] | пренебрежение
slights [слаитс] | пренебрежение
2041. unknown [эн'ноун] | неизвестно
unknowns [э'ноунз] | неизвестные
2042. framework [фреим,Вэрк] | каркас
frameworks [фреим,Вэркс] | фреймворки
2043. zone [зоун] | зона
zoned [зоунд] | зонированный
zones [зоунз] | зоны
zoning [зоуниН] | зонирование
2044. restrict [ри'стрикт] | ограничить
restricted [ри'стриктэд][ри'стриктид] | ограниченный
restricting [ри'стриктиН] | ограничивающий
restricts [ри'стриктс] | ограничивает
2045. trace [треис] | след
traced [треист] | прослеживается
traces [треисэз][треисиз] | следы
tracing [треисиН] | трассировка
2046. inch [инч] | дюйм
inched [инчт] | дюйм
inches [инчэз][инчиз] | дюймы
inching [инчиН] | дюйм
2047. equivalent [и'кВивэлэнт] | эквивалент
equivalents [и'кВивэлэнтс] | эквиваленты
2048. solid [салэд] | твердый
solids [салэдз] | твердые-частицы
2049. enterprise [енэр,праиз][ентэр,праиз] | предприятие
enterprises [енэр,праизиз][ентэр,праизиз] | предприятия
enterprising [енэр,праизиН][ентэр,праизиН] | предприимчивый
2050. elderly [елдэрли] | пожилые
2051. owe [оу] | должен
owed [оуд] | задолжал
owes [оуз] | должен
owing [оуиН] | из-за
2052. governor [гэвэрнэр] | губернатор
governors [гэвэрнэрз] | губернаторы
2053. uniform [ьюнэ,форм] | униформа
uniformed [ьюнэ,формд] | в-форме
uniforms [ьюнэ,формз] | униформа
2054. port [порт] | порт
ported [портид] | портированный
porting [портиН] | портирование
ports [портс] | порты
2055. pitch [пич] | шаг
pitched [пичт] | разбил
pitches [пичиз] | смолы
pitching [пичиН] | качка
2056. arrival [эр'аивэл] | прибытие
arrivals [эр'аивэлз] | Прибытие
2057. contemporary [кэн'темпэр,ери] | современный
contemporaries [кэн'темпэр,ериз] | современники
2058. gate [геит] | ворота
gated [геитид] | закрытый
gates [геитс] | ворота
gating [геитиН] | стробирование
2059. ease [из] | легкость
eased [изд] | облегченный
eases [изиз] | облегчает
easing [изиН] | ослабление
2060. beer [бир] | пиво
beers [бирз] | пиво
2061. specialist [спешэлэст][спешэлист] | специалист
specialists [спешэлэстс][спешэлистс] | специалисты
2062. assure [э'шур] | гарантировать
assured [э'шурд] | уверен
assures [э'шурз] | уверяет
assuring [э'шуриН] | заверяя
2063. profile [проу,фаил] | профиль
profiled [проу,фаилд] | профилированный
profiles [проу,фаилз] | профили
profiling [проу,фаилиН] | профилирование
2064. mood [муд] | настроение
moods [мудз] | настроения
2065. episode [епэ,соуд][епи,соуд] | эпизод
episodes [епэ,соудз][епи,соудз] | эпизоды
2066. crack [крЭк] | трещина
cracked [крЭкт] | треснувший
cracking [крЭкиН] | растрескивание
cracks [крЭкс] | трещины
2067. numerous [нумэрэс] | многочисленные
2068. submit [сэб'мит] | отправить
submits [сэб'митс] | представляет
submitted [сэб'митид] | поданный
submitting [сэб'митиН] | отправка
2069. symptom [симптэм] | симптом
symptoms [симптэмз] | симптомы
2070. virtually [вэрчуэли][вэрчули] | практически
2071. era [ерэ][ирэ] | эра
eras [ирэз] | эпохи
2072. coverage [кэвэрэдж][кэвэридж][кэвридж] | покрытие
2073. tension [теншэн] | напряжение
tensioned [??] | натянутый
tensioning [??] | натяжение
tensions [тенчэнз] | напряженность
2074. cable [кеибэл] | кабель
cabled [кеибэлд] | кабельный
cables [кеибэлз] | кабели
cabling [??] | прокладка-кабелей
2075. sensitive [сенсэтив][сенситив] | чувствительный
2076. nervous [нэрвэс] | нервный
2077. input [ин,пут] | вход
inputs [ин,путс] | входы
inputted [??] | введено
inputting [??] | ввод
2078. isolate [аисэ,леит] | изолировать
isolated [аисэ,леитэд][аисэ,леитид] | изолированный
isolates [аисэ,леитс] | изоляты
isolating [аисэ,леитиН] | изолирующий
2079. prisoner [призэнэр][признэр] | заключенный
prisoners [призэнэрз][признэрз] | заключенные
2080. eliminate [и'лимэ,неит] | устранить
eliminated [и'лимэ,неитид] | устранен
eliminates [и'лимэ,неитс] | устраняет
eliminating [и'лимэ,неитиН] | устранение
2081. tight [таит] | туго
tighter [таитэр] | плотнее
tightest [таитэст] | самый-плотный
2082. wet [Вет] | мокрый
wets [??] | мочит
wetted [??] | смочен
wetter [Ветэр] | влажнее
wettest [Ветэст] | самый-влажный
wetting [хВетиН][ВетиН] | смачивание
2083. secondary [секэн,дери] | вторичный
2084. welfare [Вел,фер] | благосостояние
welfares [??] | благосостояние
2085. recruit [рэ'крут][ри'крут][ри'крут] | рекрут
recruited [ри'крутид][ри'крутид] | набранный
recruiting [рэ'крутиН][ри'крутиН][ри'крутиН] | рекрутинг
recruits [рэ'крутс][ри'крутс][ри'крутс] | новобранцы
2086. exclude [ик'склуд] | исключить
excluded [ик'склудэд][ик'склудид] | исключено
excludes [ик'склудз] | исключает
excluding [ик'склудиН] | исключая
2087. string [стриН] | строка
stringing [стриНиН] | нанизывание
strings [стриНз] | струны
strung [стрэН] | натянутый
2088. cloud [клауд] | облако
clouded [клаудид] | облачный
clouding [клаудиН] | помутнение
clouds [клаудз] | облака
2089. persuade [пэр'сВеид] | убеждать
persuaded [пэр'сВеидид] | убедил
persuades [пэр'сВеидз] | убеждает
persuading [пэр'сВеидиН] | убеждающий
2090. inspire [ин'спаир] | вдохновлять
inspired [ин'спаиэрд] | вдохновленный
inspires [ин'спаирз] | вдохновляет
inspiring [ин'спаиэриН][ин'спаириН] | вдохновляющий
2091. grand [грЭнд] | большой
grander [грЭндэр] | грандиознее
grandest [грЭндэст] | величайший
2092. hence [хенс] | следовательно
2093. crew [кру] | экипаж
crewed [??] | экипаж
crewing [??] | крюинг
crews [круз] | экипажи
2094. phenomenon [фэ'намэ,нан] | явление
phenomena [фэ'намэнэ] | явления
2095. pupil [пьюпэл] | ученик
pupils [пьюпэлз] | ученики
2096. false [фолс] | ложь
falser [??] | лживее
falsest [??] | самый-ложный
2097. assist [э'сист] | помощь
assisted [э'систид] | помогал
assisting [э'систиН] | помощь
assists [э'систс] | помогает
2098. restore [ри'стор] | восстановить
restored [ри'сторд] | восстановлено
restores [ри'сторз] | восстанавливает
restoring [ри'сториН] | восстановление
2099. formula [формйэлэ] | формула
formulae [формйэ,леи] | формулы
formulas [формйэлэз] | формулы
2100. alter [олтэр] | изменить
altered [олтэрд] | измененный
altering [олтэриН] | изменение
alters [олтэрз] | изменяет
2101. perceive [пэр'сив] | воспринимать
perceived [пэр'сивд] | воспринимается
perceives [пэр'сивз] | воспринимает
perceiving [пэр'сивиН] | воспринимающий
2102. routine [ру'тин] | рутина
routines [ру'тинз] | рутины
2103. sink [сиНк] | раковина
sank [сЭНк] | затонул
sinking [сиНкиН] | тонущий
sinks [сиНкс] | раковины
sunk [сэНк] | затонул
2104. stare [стер] | смотреть
stared [стерд] | уставился
stares [стерз] | смотрит
staring [стериН] | уставившись
2105. anymore [ени'мор] | больше
2106. hero [хироу][хироу] | герой
heroes [хироуз][хироуз] | герои
2107. supporter [сэ'портэр] | сторонник
supporters [сэ'портэрз] | сторонники
2108. convert [канвэрт][кэн'вэрт] | преобразовать
converted [кэн'вэртид] | преобразованный
converting [кэн'вэртиН] | конвертация
converts [канвэртс][кэн'вэртс] | преобразует
2109. steady [стеди] | устойчивый
steadied [стедид] | стабилизировался
steadier [стедиэр] | более-устойчивый
steadies [??] | стабилизирует
steadiest [??] | самый-устойчивый
steadying [??] | стабилизация
2110. meter [митэр] | метр
metered [митэрд] | измеренный
metering [митэриН] | измерение
meters [митэрз] | метров
metre [митэр] | метр
metres [митэрз] | метров
2111. truck [трэк] | грузовик
trucked [трэкт] | грузовик
trucking [трэкиН] | грузоперевозки
trucks [трэкс] | грузовики
2112. nose [ноуз] | нос
nosed [ноузд] | носатый
noses [ноузиз] | носы
nosing [ноузиН] | обнюхивание
2113. beside [би'саид][би'саид] | рядом
2114. sail [сеил] | парус
sailed [сеилд] | плыл
sailing [сеилиН] | парусный-спорт
sails [сеилз] | паруса
2115. disaster [ди'зЭстэр] | катастрофа
disasters [ди'зЭстэрз] | катастрофы
2116. pace [пеис] | темп
paced [пеист] | темп
paces [пеисиз] | шаги
pacing [пеисиН] | стимуляция
2117. heavily [хевэли] | тяжело
2118. devote [ди'воут] | посвящать
devoted [ди'воутид] | преданный
devotes [ди'воутс] | посвящает
devoting [ди'воутиН] | посвящая
2119. terrorist [терэрист] | террорист
terrorists [терэрэстс][терэристс] | террористы
2120. justify [джэстэ,фаи] | оправдывать
justified [джэстэ,фаид] | оправданный
justifies [джэстэ,фаиз] | оправдывает
justifying [джэстэ,фаииН] | оправдывающий
2121. vital [ваитэл] | жизненно-важный
vitals [??] | жизненно-важные-органы
2122. fascinate [фЭсэ,неит] | очаровывать
fascinated [фЭсэ,неитэд][фЭсэ,неитид] | очарованный
fascinates [фЭсэ,неитс] | очаровывает
fascinating [фЭсэ,неитиН] | очаровательный
2123. external [ик'стэрнэл] | внешний
externals [??] | внешние
2124. spare [спер] | запасной
spared [сперд] | пощадили
sparer [??] | запасной
spares [сперз] | запчасти
sparest [??] | самый-запасной
sparing [спериН] | щадящий
2125. whenever [хВе'невэр][Ве'невэр] | всякий-раз,-когда
2126. depression [ди'прешэн] | депрессия
depressions [ди'прешэнз] | депрессии
2127. guilty [гилти] | виновен
guiltier [??] | виновнее
guiltiest [??] | виновнейший
2128. underlie [эндэр'лаи] | лежать-в-основе
underlain [??] | подложенный
underlies [эндэр'лаиз] | лежит-в-основе
underlying [эндэр'лаииН] | лежащий-в-основе
2129. mom [мам] | мама
mommies [мамиз] | мамочки
mommy [мами] | мамочка
moms [мамз] | мамы
2130. distinction [ди'стиНкшэн] | различие
distinctions [ди'стиНкшэнз] | различия
2131. satisfaction [сЭтэс'фЭкшэн][сЭтис'фЭкшэн] | удовлетворение
satisfactions [сЭтэс'фЭкшэнз] | удовлетворения
2132. incorporate [ин'корпэр,еит] | включить
incorporated [ин'корпэр,еитид][ин'корпэр,еитид] | включено
incorporates [ин'корпэр,еитс] | включает-в-себя
incorporating [ин'корпэр,еитиН] | включение
2133. pour [пор] | налить
poured [порд] | вылил
pouring [пориН] | заливка
pours [порз] | наливает
2134. sweep [сВип] | развертка
sweeping [сВипиН] | подметание
sweeps [сВипс] | зачистки
swept [сВепт] | подметенный
2135. obligation [аблэ'геишэн] | обязательство
obligations [аблэ'геишэнз] | обязательства
2136. sir [сэр] | сэр
2137. evaluate [и'вЭлью,еит][и'вЭлью,еит] | оценить
evaluated [и'вЭлью,еитэд][и'вЭлью,еитэд] | оценено
evaluates [и'вЭлью,еитс][и'вЭлью,еитс] | оценивает
evaluating [и'вЭлью,еитиН][и'вЭлью,еитиН] | оценивая
2138. anger [ЭНгэр] | гнев
angered [ЭНгэрд] | разозлился
angers [ЭНгэрз] | злит
2139. pub [пэб] | паб
pubs [пэбз] | пабы
2140. perception [пэр'сепшэн] | восприятие
perceptions [пэр'сепшэнз] | восприятия
2141. naturally [нЭчэрэли][нЭчрэли] | естественно
2142. currency [кэрэнси] | валюта
currencies [кэрэнсиз] | валюты
2143. database [дЭтэ,беис][деитэ,беис] | база-данных
databases [дЭтэ,беисиз][деитэ,беисиз] | базы-данных
2144. initially [и'нишэли] | изначально
2145. territory [тери,тори] | территория
territories [терэ,ториз] | территории
2146. stream [стрим] | поток
streamed [стримд] | транслировалось
streaming [стримиН] | потоковое-вещание
streams [стримз] | потоки
2147. rarely [рерли] | редко
2148. height [хаит] | высота
heights [хаитс] | высоты
2149. apparent [э'перэнт] | кажущийся
2150. western [хВестэрн][Вестэрн] | западный
westerns [Вестэрнз] | вестерны
2151. expansion [ик'спЭншэн][ик'спЭнчэн] | расширение
expansions [ик'спЭншэнз][ик'спЭнчэнз] | расширения
2152. constantly [канстэнтли] | постоянно
2153. muscle [мэсэл] | мышца
muscled [мэсэлд] | мускулистый
muscles [мэсэлз] | мышцы
2154. scare [скер] | пугать
scared [скерд] | испуганный
scares [скерз] | пугает
scaring [скериН] | пугающий
2155. badly [бЭдли] | плохо
2156. everyday [еври'деи] | каждый-день
2157. boundary [баундэри][баундри] | граница
boundaries [баундэриз][баундриз] | границы
2158. ratio [реиши,оу] | отношение
ratios [реиши,оуз] | соотношения
2159. essay [е,сеи][е'сеи] | эссе
essayed [??] | эссе
essaying [??] | эссе
essays [е,сеиз][е'сеиз] | эссе
2160. scream [скрим] | крик
screamed [скримд] | закричал
screaming [скримиН] | кричать
screams [скримз] | крики
2161. withdraw [ВиЗ'дро][ВиС'дро] | снять
withdrawing [ВиЗ'дроиН][ВиС'дроиН] | снятие
withdrawn [ВиЗ'дрон][ВиС'дрон] | снято
withdraws [ВиЗ'дроз][ВиС'дроз] | отзывает
withdrew [ВиЗ'дру][ВиС'дру] | снял
2162. pollution [пэ'лушэн] | загрязнение
pollutions [??] | загрязнения
2163. disorder [ди'сордэр] | расстройство
disordered [ди'сордэрд] | беспорядочный
disordering [??] | разупорядочивание
disorders [ди'сордэрз] | расстройства
2164. furniture [фэрничэр] | мебель
2165. symbol [симбэл] | символ
symbols [симбэлз] | символы
2166. apartment [э'партмэнт] | квартира
apartments [э'партмэнтс] | квартиры
2167. demonstration [демэн'стреишэн] | демонстрация
demonstrations [демэн'стреишэнз] | демонстрации
2168. analyst [Энэлист] | аналитик
analysts [Энэлистс] | аналитики
2169. platform [плЭт,форм] | платформа
platforms [плЭт,формз] | платформы
2170. steel [стил] | сталь
steeled [стилд] | закаленный
steeling [??] | закалка
steels [стилз] | стали
2171. cake [кеик] | торт
caked [кеикт] | запекшийся
cakes [кеикс] | торты
caking [??] | спекание
2172. transform [трЭнсформ][трЭнс'форм] | трансформировать
transformed [трЭнс'формд] | трансформировался
transforming [трЭнс'формиН] | трансформирующий
transforms [трЭнс'формз] | трансформирует
2173. wound [Ваунд][Вунд] | рана
wounded [Вундид] | раненый
wounding [ВундиН] | ранение
wounds [Вундз] | раны
2174. restriction [ри'стрикшэн] | ограничение
restrictions [ри'стрикшэнз] | ограничения
2175. foundation [фаун'деишэн] | фундамент
foundations [фаун'деишэнз] | фундаменты
2176. designer [ди'заинэр] | дизайнер
designers [ди'заинэрз] | дизайнеры
2177. strain [стреин] | штамм
strained [стреинд] | напряженный
straining [стреиниН] | напрягая
strains [стреинз] | штаммы
2178. innovation [инэ'веишэн][иноу'веишэн] | инновация
innovations [инэ'веишэнз][иноу'веишэнз] | инновации
2179. album [Элбэм] | альбом
albums [Элбэмз] | альбомы
2180. singer [сиНэр] | певец
singers [сиНэрз] | певцы
2181. trail [треил] | тропа
trailed [треилд] | прицепной
trailing [треилиН] | отстающий
trails [треилз] | тропы
2182. trap [трЭп] | ловушка
trapped [трЭпт] | в-ловушке
trapping [трЭпиН] | отлов
trappings [трЭпиНз] | атрибутика
traps [трЭпс] | ловушки
2183. loose [лус] | свободный
loosed [луст] | освобожденный
looser [лусэр] | слабее
looses [лусиз] | теряет
loosest [??] | самый-свободный
loosing [лусиН] | проигрыш
2184. extension [ик'стеншэн] | расширение
extensions [ик'стеншэнз] | расширения
2185. wealth [ВелС] | богатство
2186. gradually [грЭджуэли][грЭджули] | постепенно
2187. tank [тЭНк] | танк
tanked [тЭНкт] | танкованный
tanking [тЭНкиН] | танкование
tanks [тЭНкс] | танки
2188. evil [ивэл] | зло
eviler [??] | злее
evilest [??] | самый-злой
evils [ивэлз] | зло
2189. remarkable [ри'маркэбэл][ри'маркэбэл] | замечательный
2190. tune [тун] | мелодия
tuned [тунд] | настроенный
tunes [тунз] | мелодии
tuning [туниН] | настройка
2191. grass [грЭс] | трава
grassed [грЭст] | покрытый-травой
grasses [грЭсэз][грЭсиз] | травы
grassing [??] | травообразование
2192. invitation [инви'теишэн] | приглашение
invitations [инви'теишэнз] | приглашения
2193. transition [трЭн'зишэн] | переход
transitioned [??] | перешел
transitioning [трЭн'зишэниН] | переход
transitions [трЭн'зишэнз] | переходы
2194. frighten [фраитэн] | пугать
frightened [фраитэнд] | испуганный
frightening [фраитэниН][фраитниН] | пугающий
frightens [фраитэнз] | пугает
2195. bid [бид] | ставка
bade [беид] | велел
bidding [бидиН] | торги
bids [бидз] | ставки
2196. breed [брид] | порода
bred [бред] | выведенный
breeding [бридиН] | разведение
breeds [бридз] | породы
2197. extraordinary [екстрэ'ордэ,нери][ик'стрордэ,нери] | чрезвычайный
2198. brilliant [брилйэнт] | блестящий
2199. adviser [Эд'ваизэр] | советник
advisers [Эд'ваизэрз] | советники
2200. stem [стем] | стебель
stemmed [стемд] | выдержанный
stemming [стемиН] | стемминг
stems [стемз] | стебли
2201. reverse [ри'вэрс][ри'вэрс] | обратный
reversed [ри'вэрст][ри'вэрст] | перевернутый
reverses [ри'вэрсэз][ри'вэрсиз][ри'вэрсиз] | переворачивает
reversing [ри'вэрсиН][ри'вэрсиН] | реверсирование
2202. mode [моуд] | режим
modes [моудз] | режимы
2203. mirror [мирэр] | зеркало
mirrored [мирэрд] | зеркальный
mirroring [мирэриН] | зеркалирование
mirrors [мирэрз] | зеркала
2204. awful [афэл][офэл] | ужасно
2205. pose [поуз] | поза
posed [поузд] | позировал
poses [поузэз][поузиз] | позы
posing [поузиН] | позирование
2206. adjust [э'джэст] | настроить
adjusted [э'джэстид] | скорректировано
adjusting [э'джэстиН] | регулировка
adjusts [э'джэстс] | регулирует
2207. creative [кри'еитив] | творческий
2208. nowadays [науэ,деиз] | в-настоящее-время
2209. poem [поуэм] | стихотворение
poems [поуэмз] | стихи
2210. agricultural [Эгрэ'кэлчэрэл][Эгри'кэлчэрэл] | сельскохозяйственный
2211. competitor [кэм'петэтэр][кэм'петитэр] | конкурент
competitors [кэм'петэтэрз][кэм'петитэрз] | конкуренты
2212. alcohol [Элкэ,хал] | алкоголь
alcohols [Элкэ,халз] | спирты
2213. festival [фестэвэл][фестивэл] | фестиваль
festivals [фестэвэлз][фестивэлз] | фестивали
2214. vegetable [веджтэбэл] | овощ
vegetables [веджтэбэлз] | овощи
2215. van [вЭн] | фургон
vans [вЭнз] | фургоны
2216. confident [канфэдэнт] | уверенный
2217. planet [плЭнэт] | планета
planets [плЭнэтс] | планеты
2218. curve [кэрв] | кривая
curved [кэрвд] | изогнутый
curves [кэрвз] | кривые
curving [кэрвиН] | изгибающийся
2219. knee [ни] | колено
kneed [нид] | коленопреклоненный
kneeing [нииН] | коленопреклонение
knees [низ] | колени
2220. overcome [оувэр,кэм] | преодолеть
overcame [оувэр'кеим] | преодолел
overcomes [оувэр,кэмз] | преодолевает
overcoming [оувэр,кэмиН] | преодоление
2221. web [Веб] | веб
webbed [Вебд] | перепончатый
webbing [ВебиН] | лямки
webs [Вебз] | паутины
2222. depth [депС] | глубина
depths [депСс] | глубины
2223. entrance [ентрэнс] | вход
entranced [ин'трЭнст] | очарованный
entrances [ентрэнсэз] | входы
entrancing [??] | завораживающий
2224. log [лог] | журнал
logged [логд] | зарегистрирован
logging [логиН] | ведение-журнала
logs [логз] | журналы
2225. giant [джаиэнт] | гигант
giants [джаиэнтс] | гиганты
2226. god [гад] | бог
gods [гадз] | боги
2227. portion [поршэн] | часть
portioned [??] | порционный
portioning [??] | порционирование
portions [поршэнз] | порции
2228. substance [сэбстэнс] | вещество
substances [сэбстэнсэз][сэбстэнсиз] | вещества
2229. extensive [ик'стенсив] | обширный
2230. interpret [ин'тэрпрэт] | интерпретировать
interpreted [ин'тэрпрэтэд] | интерпретировал
interpreting [интэр,претиН] | интерпретация
interprets [ин'тэрпрэтс] | интерпретирует
2231. independence [инди'пендэнс] | независимость
2232. sugar [шугэр] | сахар
sugared [шугэрд] | засахаренный
sugars [шугэрз] | сахара
2233. inner [инэр] | внутренний
inners [??] | внутренности
2234. harm [харм] | вред
harmed [хармд] | пострадал
harming [хармиН] | вредящий
harms [хармз] | вредит
2235. consult [кэн'сэлт] | проконсультироваться
consulted [кэн'сэлтэд][кэн'сэлтид] | консультировался
consulting [кэн'сэлтиН] | консалтинг
consults [кэн'сэлтс] | консультирует
2236. pink [пиНк] | розовый
pinked [??] | розоватый
pinker [пиНкэр] | розовее
pinkest [пиНкист] | самый-розовый
pinking [??] | розоветь
pinks [пиНкс] | розовые
2237. shadow [шЭ,доу] | тень
shadows [шЭ,доуз] | тени
2238. strip [стрип] | полоса
stripped [стрипт] | раздетый
stripping [стрипиН] | зачистка
strips [стрипс] | полоски
2239. smooth [смуЗ] | гладкий
smoothed [смуЗд] | сглаженный
smoother [смуЗэр] | более-гладкий
smoothest [смуЗэст] | самый-гладкий
smoothing [смуЗиН] | сглаживание
2240. intervention [интэр'веншэн] | вмешательство
interventions [интэр'веншэнз] | вмешательства
2241. impress [им,прес][им'прес] | впечатление
impressed [им'прест] | впечатленный
impresses [им'пресиз] | впечатляет
impressing [им'пресиН] | впечатляющий
2242. exam [иг'зЭм] | экзамен
exams [иг'зЭмз] | экзамены
2243. vice [ваис] | порок
vices [ваисэз][ваисиз] | пороки
2244. radical [рЭдэкэл][рЭдикэл] | радикальный
radicals [рЭдэкэлз][рЭдикэлз] | радикалы
2245. similarly [симэлэрли] | аналогично
2246. behave [би'хеив] | вести-себя
behaved [би'хеивд] | вел-себя
behaves [би'хеивз] | ведет-себя
behaving [би'хеивиН] | ведет-себя
2247. loud [лауд] | громко
louder [лаудэр] | громче
loudest [лаудэст] | самый-громкий
2248. dimension [ди'меншэн] | измерение
dimensioned [дэ'менчэнд] | размерный
dimensioning [??] | определение-размеров
dimensions [ди'меншэнз] | размеры
2249. subsequent [сэбсэкВэнт] | последующий
2250. infection [ин'фекшэн] | инфекция
infections [ин'фекшэнз] | инфекции
2251. jacket [джЭкэт][джЭкит] | куртка
jackets [джЭкитс] | куртки
2252. efficiency [и'фишэнси] | эффективность
efficiencies [и'фишэнсиз] | эффективность
2253. dirty [дэрти] | грязный
dirtied [??] | испачканный
dirtier [дэртиэр] | грязнее
dirties [??] | грязь
dirtiest [дэртиэст] | самый-грязный
dirtying [??] | пачкание
2254. statistic [стэ'тистик] | статистика
statistics [стэ'тистикс] | статистика
2255. regularly [регйэлэрли] | регулярно
2256. resort [ри'сорт][ри'зорт][ри'зорт] | курорт
resorted [ри'сортид][ри'зортид][ри'зортид] | прибегнул
resorting [ри'сортиН][ри'зортиН][ри'зортиН] | прибегать
resorts [ри'сортс][ри'зортс][ри'зортс] | курорты
2257. iron [аиэрн] | железо
ironed [аиэрнд] | поглаженный
ironing [аиэрниН][аирниН] | глажка
irons [аиэрнз] | утюги
2258. broadcast [брод,кЭст] | трансляция
broadcasted [??] | транслировалось
broadcasting [брод,кЭстиН] | вещание
broadcasts [брод,кЭстс] | трансляции
2259. membership [мембэр,шип] | членство
memberships [мембэр,шипс] | членство
2260. bread [бред] | хлеб
breaded [бредид] | панированный
breading [бредиН] | панировка
breads [бредз] | хлеб
2261. blind [блаинд] | слепой
blinded [блаиндид] | ослепленный
blinder [блаиндэр] | слепец
blindest [??] | самый-слепой
blinding [блаиндиН] | ослепляющий
blinds [блаиндз] | жалюзи
2262. pure [пьюр] | чистый
purer [пьюрэр] | чище
purest [пьюрэст] | чистейший
2263. bloody [блэди] | кровавый
bloodied [блэдид] | окровавленный
bloodier [блэдиэр] | кровавее
bloodies [??] | кровавые
bloodiest [блэдиэст] | самый-кровавый
bloodying [??] | кровавый
2264. ally [Элаи][э'лаи] | союзник
allied [Э,лаид][э'лаид] | союзный
allies [Элаиз][э'лаиз] | союзники
2265. quantity [кВантэти] | количество
quantities [кВантэтиз] | количества
2266. bend [бенд] | изгиб
bended [бендид] | согнутый
bending [бендиН] | изгиб
bends [бендз] | изгибы
bent [бент] | согнутый
2267. mature [мэ'чур][мэт'ьюр] | зрелый
matured [мэт'ьюрд] | созрел
matures [мэ'чурз][мэт'ьюрз] | созревает
maturing [мэ'чуриН][мэт'ьюриН] | созревание
2268. briefly [брифли] | кратко
2269. alarm [э'ларм] | сигнализация
alarmed [э'лармд] | встревоженный
alarming [э'лармиН] | тревожный
alarms [э'лармз] | будильники
2270. disturb [ди'стэрб] | беспокоить
disturbed [ди'стэрбд] | нарушенный
disturbing [ди'стэрбиН] | тревожный
disturbs [ди'стэрбз] | беспокоит
2271. sustain [сэ'стеин] | поддерживать
sustained [сэ'стеинд] | устойчивый
sustaining [сэ'стеиниН] | поддержание
sustains [сэ'стеинз] | поддерживает
2272. flood [флэд] | наводнение
flooded [флэдэд][флэдид] | затопленный
flooding [флэдиН] | наводнение
floods [флэдз] | наводнения
2273. poverty [павэрти] | бедность
2274. crazy [креизи] | сумасшедший
crazier [креизиэр] | безумнее
crazies [креизиз] | психи
craziest [креизиэст] | самый-сумасшедший
2275. cite [саит] | цитата
cited [саитэд][саитид] | цитируется
cites [саитс] | цитирует
citing [саитиН] | цитируя
2276. newly [нули] | недавно
2277. parallel [перэ,лел] | параллель
paralleled [перэ,лелд] | параллельно
paralleling [перэ,лелиН] | параллелизм
parallels [перэ,лелз] | параллели
2278. gender [джендэр] | пол
gendered [джендэрд] | гендерный
genders [джендэрз] | гендеры
2279. sponsor [спансэр] | спонсор
sponsored [спансэрд] | спонсируемый
sponsoring [спансэриН] | спонсирование
sponsors [спансэрз] | спонсоры
2280. boot [бут] | ботинок
booted [бутид] | загрузился
booting [бутиН] | загрузка
boots [бутс] | сапоги
